site,x,y,SOM,MAOM,POM.AGG,SoilTMP-C,SoilMoi-m3,NPP.gC.m2,qmax.gC.m2,pH-CaCl2,BD.mg.cm3,depth,REC-ID
S176,132.4531142,-13.5216182,4139.46713483334,2756.64446249804,1382.8226723353,28.4166722933353,0.143579422112434,1.23196994535519,4033.838475,5.15981408500671,1379.82237827778,0.3,2
S177,132.4570583,-13.51696944,4343.61753237249,2584.21004027064,1759.40749210185,28.4166722933353,0.143579422112434,1.33445534845423,4001.696507,5.11896862697601,1447.87251079083,0.3,2
GA959,146.55603,-22.22157,1867.33432793,1533.2085177,334.12581023,26,0.29,0.85,6762.12453275021,5.67313488,1506.81876,0.3,5
GA_bot531,146.672,-21.861,2236.1929223,2001.2742313,234.918691,27,0.27,1.02,5976.73054117986,6.29551449,1481.96356,0.3,5
GA979,146.68439,-23.13955,2296.95463839,2027.1374508,269.81718759,24.9,0.22,0.79,5575.5926198267,5.44432884,1506.85455,0.3,5
GA_bot250,146.92556,-21.9282,2707.13264296,2090.608306,616.52433696,26.3,0.26,1.1,9265.89672186655,6.13902909,1214.96333,0.3,5
GA_bot422,147.047,-21.53,2253.89509804,2086.4886902,167.40640784,26.6,0.22,1.03,6292.56852589522,6.18710946,1437.1664,0.3,5
GA_bot467,147.048,-21.531,2631.3595395,2392.6283283,238.7312112,26.6,0.22,1.03,6279.22487424371,6.14769482,1438.2795,0.3,5
QLDR000599,147.133847,-22.147468,2287.24990549,1861.2569574,425.99294809,26.7,0.23,0.92,6321.64444778216,6.55829717,1437.33104,0.3,5
QLDR000596,147.140911,-22.152464,2372.476505,2033.3938541,339.0826509,26.7,0.23,0.98,6295.61018009825,6.51983624,1448.35483,0.3,5
QLDR000593,147.153754,-22.154391,2253.89047021,1953.466074,300.42439621,26.7,0.23,0.98,6060.7516901018,5.81464704,1495.19771,0.3,5
QLDR000608,147.211871,-22.241405,2802.26370599,2505.8873225,296.37638349,26.4,0.28,1.12,6348.60879777711,6.83945726,1415.36849,0.3,5
QLDR000602,147.221824,-22.273192,2560.19301721,2211.3577219,348.83529531,26.4,0.28,1.2,6355.64884334881,6.89854072,1400.0887,0.3,5
QLDR000605,147.242374,-22.228561,2857.80390978,2558.5820115,299.22189828,26.7,0.23,1.24,6347.71786706802,6.94106527,1402.8389,0.3,5
GA_bot216,147.24326,-21.67891,2398.20268888,2183.1531205,215.04956838,26.3,0.28,0.64,6379.44799866418,6.27427787,1403.29698,0.3,5
GA923,147.3504,-20.40244,1849.88444578,1561.0409742,288.84347158,25.9,0.22,1.52,8191.82750311346,5.33958771,1512.19604,0.3,5
GA_bot20,147.35059,-20.40202,1882.39252624,1631.7291027,250.66342354,25.9,0.22,1.52,8191.82750311346,5.33958771,1512.19604,0.3,5
GA_bot608,147.444,-24.331,3403.7882621,3065.3918019,338.3964602,22.5,0.18,0.82,9009.66237229042,5.63159001,1439.57957,0.3,5
GA_bot477,147.658,-20.67,3002.88111842,2564.3966828,438.48443562,25.2,0.21,1.16,8537.40752343244,5.51082834,1492.6913,0.3,5
GA_bot122,147.76636,-24.05265,3011.72271646,2705.9876733,305.73504316,24.2,0.14,1.04,6337.63012807944,6.24797994,1372.64458,0.3,5
GA_bot617,147.844,-19.929,3071.64636542,2682.8973272,388.74903822,25.6,0.25,1.26,8506.71463019789,5.55176183,1454.07942,0.3,5
QLDR000485,147.94521,-19.988679,2439.65163067,1836.9887997,602.66283097,25.4,0.21,1.6,9035.42963758468,5.76669306,1446.48218,0.3,5
QLDR000482,147.953394,-19.986052,2414.17579104,1948.6676764,465.50811464,25.6,0.25,1.81,9051.58651012186,5.83555819,1445.04703,0.3,5
