site,x,y,SOM,MAOM,POM.AGG,SoilTMP-C,SoilMoi-m3m3,NPP.gC.m2.d,qmax.gC.m2,pH_CaCl2,BD.mg.cm3,depth
GA_bot691,113.809,-24.819,2017.07875005,1688.64192,328.43683005,26.4,0.13,0.76,6383.97386923422,5.49081857,1532.81261,0.3
GA_bot655,113.811,-24.818,2086.2882455,1737.5676187,348.7206268,26.4,0.13,0.68,6602.96704162632,5.57210202,1523.6589,0.3
GA_bot707,113.845,-24.64,1681.50127096,1514.4439313,167.05733966,26.4,0.12,0.52,8127.62648879863,5.88113423,1508.76074,0.3
GA_bot311,113.89796,-23.70675,3342.0530215,2622.3328731,719.7201484,28.6,0.12,0.31,4964.76712179135,5.3659747,1471.33779,0.3
GA_bot289,113.9212,-23.29272,1932.86204903,1633.5084247,299.35362433,28.4,0.12,0.45,4742.94920207905,5.51744151,1513.13181,0.3
GA_bot288,113.97134,-25.05919,1953.02224771,1655.2467581,297.77548961,27,0.1,0.32,6318.2559849454,5.76169219,1504.91352,0.3
GA_bot640,113.986,-23.631,1721.27154185,1546.7675302,174.50401165,28.6,0.12,0.33,7046.17544696699,6.15113941,1508.11536,0.3
GA_bot137,113.9952,-23.89166,1797.59783537,1553.4069058,244.19092957,28.5,0.12,0.59,6191.40016625844,5.33180275,1527.16816,0.3
GA_bot344,114.01398,-24.51815,1748.70360694,1468.5380936,280.16551334,27.4,0.12,0.43,8235.3159896566,6.07869341,1481.31893,0.3
GA_bot534,114.051,-22.386,2384.64922702,1943.2075612,441.44166582,27.6,0.09,0.35,4292.70035031585,5.57935687,1479.71373,0.3
GA_bot309,114.10419,-22.59575,5146.6356816,3005.8706178,2140.7650638,29.4,0.12,0.61,3235.34289309949,5.54315124,1376.01432,0.3
GA1109,114.12356,-25.3114,2018.86738802,1662.9350946,355.93229342,27.4,0.1,0.3,7294.88545975511,5.65263425,1526.05415,0.3
GA_bot227,114.13693,-27.39515,3159.83358281,2690.7326942,469.10088861,24.6,0.13,0.96,6464.95081516714,5.67128067,1450.94254,0.3
GA_bot338,114.1635,-26.45462,2343.52009049,2009.3450791,334.17501139,26.4,0.13,0.34,2846.24016669837,5.70407073,1506.4275,0.3
GA_bot572,114.202,-25.753,1394.94822128,1123.9899406,270.95828068,26.7,0.12,0.21,5911.10958112482,5.64144135,1534.36884,0.3
GA_bot181,114.24884,-27.62995,3539.340106,2811.2476405,728.0924655,23.8,0.08,0.5,4710.49926473356,5.42829793,1481.88727,0.3
GA938,114.2953,-25.74173,1663.16495191,1450.647607,212.51734491,26.7,0.12,0.46,6460.01738959892,5.62032454,1549.65419,0.3
GA_bot226,114.31595,-25.99629,1722.39490355,1505.0784892,217.31641435,27.4,0.09,0.32,4905.64391697157,5.83933374,1489.55633,0.3
GA1026,114.32009,-28.21163,2889.99600067,2244.9526328,645.04336787,22.7,0.09,1.04,4756.89975720594,5.34430224,1502.05901,0.3
GA915,114.34874,-22.71362,2528.72484141,2069.5467055,459.17813591,28.7,0.15,0.42,2624.03656113731,5.54852464,1483.03257,0.3
GA_bot221,114.39051,-23.75395,1580.12700955,1389.973569,190.15344055,28.9,0.09,0.23,7404.72281472137,5.72178062,1519.81985,0.3
