"","doy","forc_npp","forc_sw","forc_st","avg_date"
"1",1,0.4,0.26,28.99,2001-01-01
"2",2,0.4,0.26,28.54,2001-01-02
"3",3,0.39,0.26,28.66,2001-01-03
"4",4,0.39,0.26,28.83,2001-01-04
"5",5,0.39,0.26,29.37,2001-01-05
"6",6,0.39,0.26,29.49,2001-01-06
"7",7,0.39,0.26,29.48,2001-01-07
"8",8,0.38,0.26,28.96,2001-01-08
"9",9,0.38,0.26,28.78,2001-01-09
"10",10,0.38,0.26,29.44,2001-01-10
"11",11,0.38,0.26,29.91,2001-01-11
"12",12,0.38,0.26,29.86,2001-01-12
"13",13,0.38,0.27,29.17,2001-01-13
"14",14,0.38,0.27,28.68,2001-01-14
"15",15,0.38,0.27,28.91,2001-01-15
"16",16,0.38,0.27,29.27,2001-01-16
"17",17,0.38,0.27,29.37,2001-01-17
"18",18,0.38,0.27,29.13,2001-01-18
"19",19,0.38,0.27,29.59,2001-01-19
"20",20,0.38,0.27,30.07,2001-01-20
"21",21,0.38,0.27,30.1,2001-01-21
"22",22,0.38,0.27,29.8,2001-01-22
"23",23,0.38,0.27,30.23,2001-01-23
"24",24,0.38,0.27,29.89,2001-01-24
"25",25,0.38,0.26,30.01,2001-01-25
"26",26,0.38,0.26,30.23,2001-01-26
"27",27,0.38,0.26,30.06,2001-01-27
"28",28,0.38,0.26,29.99,2001-01-28
"29",29,0.39,0.26,29.86,2001-01-29
"30",30,0.39,0.26,29.39,2001-01-30
"31",31,0.39,0.26,29.02,2001-01-31
"32",32,0.39,0.26,29.03,2001-02-01
"33",33,0.4,0.26,28.75,2001-02-02
"34",34,0.4,0.27,28.64,2001-02-03
"35",35,0.41,0.28,28.7,2001-02-04
"36",36,0.41,0.29,28.66,2001-02-05
"37",37,0.41,0.28,28.54,2001-02-06
"38",38,0.42,0.28,29.02,2001-02-07
"39",39,0.42,0.28,29.21,2001-02-08
"40",40,0.43,0.27,28.83,2001-02-09
"41",41,0.43,0.27,28.64,2001-02-10
"42",42,0.44,0.27,28.49,2001-02-11
"43",43,0.44,0.27,28.65,2001-02-12
"44",44,0.45,0.27,28.44,2001-02-13
"45",45,0.45,0.27,28.36,2001-02-14
"46",46,0.46,0.28,28.57,2001-02-15
"47",47,0.46,0.28,28.09,2001-02-16
"48",48,0.47,0.28,27.99,2001-02-17
"49",49,0.47,0.27,28.31,2001-02-18
"50",50,0.48,0.27,28.37,2001-02-19
"51",51,0.48,0.27,27.8,2001-02-20
"52",52,0.49,0.28,27.71,2001-02-21
"53",53,0.49,0.27,27.68,2001-02-22
"54",54,0.5,0.27,28.09,2001-02-23
"55",55,0.5,0.27,28,2001-02-24
"56",56,0.5,0.27,27.77,2001-02-25
"57",57,0.51,0.27,27.69,2001-02-26
"58",58,0.51,0.27,27.78,2001-02-27
"59",59,0.51,0.27,27.13,2001-02-28
"60",60,0.52,0.27,26.53,2001-03-01
"61",61,0.52,0.28,26.17,2001-03-02
"62",62,0.53,0.27,26.68,2001-03-03
"63",63,0.53,0.28,26.53,2001-03-04
"64",64,0.53,0.28,26.33,2001-03-05
