"","doy","forc_npp","forc_sw","forc_st","avg_date"
"1",1,0.06,0.08,32.67,2001-01-01
"2",2,0.06,0.08,32.74,2001-01-02
"3",3,0.07,0.08,32.24,2001-01-03
"4",4,0.07,0.08,32.28,2001-01-04
"5",5,0.07,0.08,32.13,2001-01-05
"6",6,0.07,0.09,31.81,2001-01-06
"7",7,0.07,0.08,31.91,2001-01-07
"8",8,0.08,0.08,32.16,2001-01-08
"9",9,0.08,0.08,32.18,2001-01-09
"10",10,0.08,0.08,31.65,2001-01-10
"11",11,0.08,0.08,31.54,2001-01-11
"12",12,0.08,0.09,31.47,2001-01-12
"13",13,0.09,0.09,31.25,2001-01-13
"14",14,0.09,0.09,31.39,2001-01-14
"15",15,0.09,0.09,31.72,2001-01-15
"16",16,0.09,0.09,31.63,2001-01-16
"17",17,0.09,0.09,31.99,2001-01-17
"18",18,0.09,0.09,31.74,2001-01-18
"19",19,0.1,0.09,30.97,2001-01-19
"20",20,0.1,0.09,31.21,2001-01-20
"21",21,0.1,0.09,32.07,2001-01-21
"22",22,0.1,0.1,32.23,2001-01-22
"23",23,0.1,0.1,32.19,2001-01-23
"24",24,0.1,0.1,32.13,2001-01-24
"25",25,0.1,0.1,32,2001-01-25
"26",26,0.1,0.1,32.56,2001-01-26
"27",27,0.1,0.1,32.43,2001-01-27
"28",28,0.1,0.11,31.99,2001-01-28
"29",29,0.1,0.11,31.67,2001-01-29
"30",30,0.1,0.11,30.86,2001-01-30
"31",31,0.1,0.11,30.37,2001-01-31
"32",32,0.1,0.1,30.06,2001-02-01
"33",33,0.1,0.1,30.18,2001-02-02
"34",34,0.09,0.1,30.59,2001-02-03
"35",35,0.09,0.09,31.25,2001-02-04
"36",36,0.09,0.09,31.68,2001-02-05
"37",37,0.1,0.09,31.83,2001-02-06
"38",38,0.1,0.09,31.59,2001-02-07
"39",39,0.1,0.1,30.96,2001-02-08
"40",40,0.1,0.1,31.44,2001-02-09
"41",41,0.1,0.1,32.08,2001-02-10
"42",42,0.1,0.1,32.32,2001-02-11
"43",43,0.1,0.1,31.97,2001-02-12
"44",44,0.1,0.1,31.38,2001-02-13
"45",45,0.1,0.1,31.64,2001-02-14
"46",46,0.1,0.09,32.15,2001-02-15
"47",47,0.1,0.1,31.74,2001-02-16
"48",48,0.1,0.1,31.33,2001-02-17
"49",49,0.1,0.09,31.15,2001-02-18
"50",50,0.1,0.09,31.04,2001-02-19
"51",51,0.11,0.09,30.57,2001-02-20
"52",52,0.11,0.1,29.92,2001-02-21
"53",53,0.11,0.1,29.54,2001-02-22
"54",54,0.11,0.1,29.59,2001-02-23
"55",55,0.11,0.1,30.16,2001-02-24
"56",56,0.11,0.1,30.67,2001-02-25
"57",57,0.12,0.1,30.88,2001-02-26
"58",58,0.12,0.1,30.75,2001-02-27
"59",59,0.12,0.1,30.14,2001-02-28
"60",60,0.12,0.11,28.95,2001-03-01
"61",61,0.12,0.11,28.85,2001-03-02
"62",62,0.12,0.1,29.27,2001-03-03
"63",63,0.13,0.1,29.33,2001-03-04
"64",64,0.13,0.1,29.39,2001-03-05
"65",65,0.13,0.1,29.62,2001-03-06
"66",66,0.14,0.09,30.05,2001-03-07
"67",67,0.14,0.09,30.49,2001-03-08
"68",68,0.14,0.09,30.37,2001-03-09
"69",69,0.14,0.09,30.03,2001-03-10
"70",70,0.14,0.09,29.82,2001-03-11
"71",71,0.15,0.09,29.82,2001-03-12
"72",72,0.15,0.09,29.83,2001-03-13
"73",73,0.15,0.09,29.52,2001-03-14
"74",74,0.16,0.09,29.29,2001-03-15
"75",75,0.16,0.09,28.81,2001-03-16
"76",76,0.16,0.09,28.62,2001-03-17
"77",77,0.16,0.09,28.46,2001-03-18
"78",78,0.16,0.09,28.17,2001-03-19
"79",79,0.17,0.09,28.23,2001-03-20
"80",80,0.17,0.1,28.26,2001-03-21
"81",81,0.17,0.1,27.91,2001-03-22
"82",82,0.18,0.1,27.18,2001-03-23
"83",83,0.18,0.1,27.03,2001-03-24
"84",84,0.18,0.1,27.1,2001-03-25
"85",85,0.18,0.1,26.72,2001-03-26
"86",86,0.19,0.1,26.28,2001-03-27
"87",87,0.19,0.1,26.37,2001-03-28
"88",88,0.19,0.1,26.13,2001-03-29
"89",89,0.19,0.1,26,2001-03-30
"90",90,0.19,0.1,25.54,2001-03-31
"91",91,0.2,0.11,24.64,2001-04-01
"92",92,0.2,0.11,24.2,2001-04-02
"93",93,0.2,0.1,24.36,2001-04-03
"94",94,0.2,0.1,24.86,2001-04-04
"95",95,0.2,0.1,25.25,2001-04-05
"96",96,0.2,0.1,24.97,2001-04-06
"97",97,0.21,0.1,24.44,2001-04-07
"98",98,0.21,0.1,24.32,2001-04-08
"99",99,0.21,0.1,24.06,2001-04-09
"100",100,0.21,0.1,24.16,2001-04-10
"101",101,0.21,0.1,24.25,2001-04-11
"102",102,0.21,0.1,24.15,2001-04-12
"103",103,0.21,0.1,23.94,2001-04-13
"104",104,0.21,0.1,23.93,2001-04-14
"105",105,0.21,0.1,24.44,2001-04-15
"106",106,0.22,0.1,24.4,2001-04-16
"107",107,0.22,0.1,24.17,2001-04-17
"108",108,0.22,0.1,23.89,2001-04-18
"109",109,0.22,0.1,23.74,2001-04-19
"110",110,0.22,0.1,23.49,2001-04-20
"111",111,0.22,0.1,23.29,2001-04-21
"112",112,0.22,0.1,22.99,2001-04-22
"113",113,0.22,0.09,22.51,2001-04-23
"114",114,0.22,0.09,22.28,2001-04-24
"115",115,0.22,0.09,22.39,2001-04-25
"116",116,0.23,0.09,22.46,2001-04-26
"117",117,0.23,0.1,21.99,2001-04-27
"118",118,0.23,0.1,21.84,2001-04-28
"119",119,0.23,0.1,21.87,2001-04-29
"120",120,0.23,0.1,21.89,2001-04-30
"121",121,0.23,0.1,21.49,2001-05-01
"122",122,0.23,0.1,20.87,2001-05-02
"123",123,0.24,0.1,20.64,2001-05-03
"124",124,0.24,0.1,20.63,2001-05-04
"125",125,0.24,0.1,20.91,2001-05-05
"126",126,0.24,0.1,20.82,2001-05-06
"127",127,0.24,0.1,20.59,2001-05-07
"128",128,0.24,0.11,20.09,2001-05-08
"129",129,0.24,0.1,19.79,2001-05-09
"130",130,0.24,0.1,19.69,2001-05-10
"131",131,0.24,0.1,19.47,2001-05-11
"132",132,0.24,0.1,18.94,2001-05-12
"133",133,0.24,0.1,18.56,2001-05-13
"134",134,0.24,0.1,18.36,2001-05-14
"135",135,0.24,0.1,18.18,2001-05-15
"136",136,0.24,0.11,18.2,2001-05-16
"137",137,0.24,0.11,17.91,2001-05-17
"138",138,0.24,0.11,17.71,2001-05-18
"139",139,0.24,0.1,17.71,2001-05-19
"140",140,0.24,0.11,17.68,2001-05-20
"141",141,0.24,0.11,17.3,2001-05-21
"142",142,0.24,0.11,16.91,2001-05-22
"143",143,0.24,0.11,16.55,2001-05-23
"144",144,0.24,0.11,16.33,2001-05-24
"145",145,0.24,0.11,16.4,2001-05-25
"146",146,0.24,0.11,16.43,2001-05-26
"147",147,0.24,0.11,16.46,2001-05-27
"148",148,0.24,0.11,16.39,2001-05-28
"149",149,0.24,0.1,16.19,2001-05-29
"150",150,0.24,0.11,16.02,2001-05-30
"151",151,0.24,0.11,15.98,2001-05-31
"152",152,0.23,0.11,16.16,2001-06-01
"153",153,0.24,0.11,16.2,2001-06-02
"154",154,0.24,0.1,16.34,2001-06-03
"155",155,0.24,0.11,16.13,2001-06-04
"156",156,0.24,0.11,15.66,2001-06-05
"157",157,0.24,0.11,15.29,2001-06-06
"158",158,0.24,0.11,14.98,2001-06-07
"159",159,0.24,0.11,14.82,2001-06-08
"160",160,0.24,0.11,14.66,2001-06-09
"161",161,0.24,0.11,14.47,2001-06-10
