"","doy","forc_npp","forc_sw","forc_st","avg_date"
"1",1,0.42,0.23,35.09,2001-01-01
"2",2,0.43,0.24,35.07,2001-01-02
"3",3,0.44,0.24,34.98,2001-01-03
"4",4,0.45,0.25,34.66,2001-01-04
"5",5,0.47,0.26,34.53,2001-01-05
"6",6,0.48,0.27,34.67,2001-01-06
"7",7,0.49,0.27,34.75,2001-01-07
"8",8,0.5,0.27,34.84,2001-01-08
"9",9,0.51,0.26,35.32,2001-01-09
"10",10,0.52,0.26,35.56,2001-01-10
"11",11,0.53,0.26,35.49,2001-01-11
"12",12,0.54,0.26,35.07,2001-01-12
"13",13,0.55,0.26,34.51,2001-01-13
"14",14,0.56,0.26,34.38,2001-01-14
"15",15,0.58,0.27,33.91,2001-01-15
"16",16,0.58,0.27,33.93,2001-01-16
"17",17,0.6,0.27,33.85,2001-01-17
"18",18,0.61,0.26,33.82,2001-01-18
"19",19,0.62,0.26,34.22,2001-01-19
"20",20,0.63,0.26,34.42,2001-01-20
"21",21,0.64,0.27,34.83,2001-01-21
"22",22,0.65,0.26,35.27,2001-01-22
"23",23,0.66,0.26,35.53,2001-01-23
"24",24,0.67,0.26,35.84,2001-01-24
"25",25,0.68,0.26,35.99,2001-01-25
"26",26,0.69,0.25,35.97,2001-01-26
"27",27,0.7,0.26,35.62,2001-01-27
"28",28,0.71,0.26,35.54,2001-01-28
"29",29,0.71,0.25,35.51,2001-01-29
"30",30,0.72,0.25,35.31,2001-01-30
"31",31,0.72,0.25,35.44,2001-01-31
"32",32,0.72,0.25,35.28,2001-02-01
"33",33,0.72,0.25,34.67,2001-02-02
"34",34,0.72,0.25,33.79,2001-02-03
"35",35,0.72,0.26,33.53,2001-02-04
"36",36,0.72,0.25,33.83,2001-02-05
"37",37,0.72,0.25,34.19,2001-02-06
"38",38,0.71,0.25,34.54,2001-02-07
"39",39,0.71,0.24,34.58,2001-02-08
"40",40,0.7,0.25,34.23,2001-02-09
"41",41,0.7,0.25,34.31,2001-02-10
"42",42,0.69,0.24,34.56,2001-02-11
"43",43,0.68,0.24,34.81,2001-02-12
"44",44,0.68,0.24,34.97,2001-02-13
"45",45,0.67,0.24,35.19,2001-02-14
"46",46,0.66,0.24,35.24,2001-02-15
"47",47,0.66,0.24,35.06,2001-02-16
"48",48,0.65,0.24,34.94,2001-02-17
"49",49,0.65,0.24,34.92,2001-02-18
"50",50,0.64,0.24,34.88,2001-02-19
"51",51,0.64,0.23,35.07,2001-02-20
"52",52,0.63,0.23,35.38,2001-02-21
"53",53,0.63,0.23,35.12,2001-02-22
"54",54,0.63,0.23,35.16,2001-02-23
"55",55,0.63,0.23,35.08,2001-02-24
"56",56,0.63,0.23,34.99,2001-02-25
"57",57,0.63,0.24,34.83,2001-02-26
"58",58,0.63,0.24,34.8,2001-02-27
"59",59,0.63,0.25,34.66,2001-02-28
