"","doy","forc_npp","forc_sw","forc_st","avg_date"
"1",1,0.24,0.15,28.11,2001-01-01
"2",2,0.24,0.15,27.61,2001-01-02
"3",3,0.24,0.15,27.69,2001-01-03
"4",4,0.24,0.14,27.96,2001-01-04
"5",5,0.24,0.14,28.42,2001-01-05
"6",6,0.24,0.14,28.72,2001-01-06
"7",7,0.24,0.14,28.89,2001-01-07
"8",8,0.24,0.14,28.26,2001-01-08
"9",9,0.24,0.14,28.04,2001-01-09
"10",10,0.25,0.14,28.67,2001-01-10
"11",11,0.25,0.14,29.06,2001-01-11
"12",12,0.25,0.14,29.24,2001-01-12
"13",13,0.26,0.15,28.45,2001-01-13
"14",14,0.26,0.15,28.24,2001-01-14
"15",15,0.27,0.15,28.53,2001-01-15
"16",16,0.27,0.15,28.66,2001-01-16
"17",17,0.28,0.15,28.64,2001-01-17
"18",18,0.28,0.15,28.35,2001-01-18
"19",19,0.29,0.15,28.66,2001-01-19
"20",20,0.29,0.16,29.36,2001-01-20
"21",21,0.3,0.15,29.36,2001-01-21
"22",22,0.3,0.15,29.21,2001-01-22
"23",23,0.31,0.15,29.72,2001-01-23
"24",24,0.31,0.15,29.33,2001-01-24
"25",25,0.32,0.15,29.37,2001-01-25
"26",26,0.32,0.15,29.66,2001-01-26
"27",27,0.33,0.15,29.22,2001-01-27
"28",28,0.34,0.15,29.38,2001-01-28
"29",29,0.34,0.15,29.33,2001-01-29
"30",30,0.34,0.15,29,2001-01-30
"31",31,0.35,0.15,28.69,2001-01-31
"32",32,0.35,0.15,28.68,2001-02-01
"33",33,0.36,0.16,28.27,2001-02-02
"34",34,0.36,0.17,28.2,2001-02-03
"35",35,0.36,0.17,28.07,2001-02-04
"36",36,0.37,0.18,28.05,2001-02-05
"37",37,0.37,0.18,27.89,2001-02-06
"38",38,0.37,0.18,28.41,2001-02-07
"39",39,0.37,0.17,28.75,2001-02-08
"40",40,0.38,0.17,28.5,2001-02-09
"41",41,0.38,0.16,28.22,2001-02-10
"42",42,0.38,0.16,28.08,2001-02-11
"43",43,0.38,0.16,27.86,2001-02-12
"44",44,0.39,0.16,27.67,2001-02-13
"45",45,0.39,0.16,27.64,2001-02-14
"46",46,0.39,0.17,27.83,2001-02-15
"47",47,0.39,0.17,27.57,2001-02-16
"48",48,0.4,0.17,27.66,2001-02-17
"49",49,0.4,0.16,27.88,2001-02-18
"50",50,0.4,0.16,27.82,2001-02-19
"51",51,0.41,0.16,27.37,2001-02-20
"52",52,0.41,0.16,27.39,2001-02-21
"53",53,0.41,0.16,27.46,2001-02-22
"54",54,0.42,0.16,27.8,2001-02-23
"55",55,0.42,0.15,27.78,2001-02-24
"56",56,0.42,0.15,27.65,2001-02-25
"57",57,0.42,0.15,27.39,2001-02-26
"58",58,0.43,0.16,27.28,2001-02-27
"59",59,0.43,0.16,26.64,2001-02-28
"60",60,0.41,0.16,26.03,2001-03-01
"61",61,0.44,0.17,25.8,2001-03-02
"62",62,0.44,0.16,26.17,2001-03-03
"63",63,0.45,0.17,25.98,2001-03-04
"64",64,0.45,0.17,25.58,2001-03-05
"65",65,0.45,0.17,25.74,2001-03-06
"66",66,0.46,0.17,25.73,2001-03-07
"67",67,0.46,0.17,25.83,2001-03-08
"68",68,0.47,0.17,25.83,2001-03-09
"69",69,0.47,0.17,26.09,2001-03-10
"70",70,0.48,0.16,26.51,2001-03-11
