"","doy","forc_npp","forc_sw","forc_st","avg_date"
"1",1,3.78,0.28,30.51,2001-01-01
"2",2,3.83,0.28,30.71,2001-01-02
"3",3,3.87,0.29,30.67,2001-01-03
"4",4,3.92,0.29,30.71,2001-01-04
"5",5,3.96,0.29,30.63,2001-01-05
"6",6,4,0.29,30.88,2001-01-06
"7",7,4.04,0.29,30.83,2001-01-07
"8",8,4.07,0.29,30.94,2001-01-08
"9",9,4.11,0.29,30.76,2001-01-09
"10",10,4.14,0.29,30.63,2001-01-10
"11",11,4.16,0.29,30.91,2001-01-11
"12",12,4.19,0.28,31.33,2001-01-12
"13",13,4.22,0.28,31.48,2001-01-13
"14",14,4.24,0.28,31.35,2001-01-14
"15",15,4.26,0.29,30.76,2001-01-15
"16",16,4.28,0.3,30.67,2001-01-16
"17",17,4.29,0.3,30.74,2001-01-17
"18",18,4.31,0.3,30.74,2001-01-18
"19",19,4.32,0.3,30.61,2001-01-19
"20",20,4.34,0.3,30.61,2001-01-20
"21",21,4.35,0.3,30.79,2001-01-21
"22",22,4.36,0.3,31.06,2001-01-22
"23",23,4.37,0.29,30.72,2001-01-23
"24",24,4.38,0.29,30.76,2001-01-24
"25",25,4.38,0.29,30.93,2001-01-25
"26",26,4.39,0.29,31.09,2001-01-26
"27",27,4.39,0.29,30.87,2001-01-27
"28",28,4.4,0.3,30.46,2001-01-28
"29",29,4.4,0.3,30.46,2001-01-29
"30",30,4.4,0.3,30.72,2001-01-30
"31",31,4.4,0.31,30.67,2001-01-31
"32",32,4.41,0.3,30.35,2001-02-01
"33",33,4.41,0.3,29.82,2001-02-02
"34",34,4.41,0.3,29.84,2001-02-03
"35",35,4.41,0.31,29.93,2001-02-04
"36",36,4.4,0.31,29.79,2001-02-05
"37",37,4.4,0.31,29.88,2001-02-06
"38",38,4.4,0.31,29.87,2001-02-07
"39",39,4.4,0.3,29.83,2001-02-08
"40",40,4.4,0.3,29.78,2001-02-09
"41",41,4.39,0.3,30.14,2001-02-10
"42",42,4.39,0.29,30.44,2001-02-11
"43",43,4.38,0.29,30.45,2001-02-12
"44",44,4.38,0.3,30.29,2001-02-13
"45",45,4.37,0.3,30.16,2001-02-14
"46",46,4.36,0.3,30.2,2001-02-15
"47",47,4.35,0.3,30,2001-02-16
"48",48,4.35,0.3,30.04,2001-02-17
"49",49,4.34,0.3,29.98,2001-02-18
"50",50,4.33,0.3,29.82,2001-02-19
"51",51,4.32,0.3,29.44,2001-02-20
"52",52,4.3,0.3,29.26,2001-02-21
"53",53,4.29,0.3,29.52,2001-02-22
"54",54,4.28,0.29,29.61,2001-02-23
"55",55,4.26,0.29,29.43,2001-02-24
"56",56,4.24,0.3,29.28,2001-02-25
"57",57,4.22,0.3,28.77,2001-02-26
"58",58,4.2,0.3,29.01,2001-02-27
"59",59,4.17,0.3,28.77,2001-02-28
"60",60,4.73,0.3,28.44,2001-03-01
"61",61,4.11,0.3,28.13,2001-03-02
"62",62,4.07,0.3,28.25,2001-03-03
"63",63,4.03,0.3,28,2001-03-04
"64",64,3.98,0.3,27.68,2001-03-05
"65",65,3.94,0.3,27.42,2001-03-06
"66",66,3.88,0.3,27.32,2001-03-07
"67",67,3.83,0.3,27.48,2001-03-08
"68",68,3.76,0.29,27.67,2001-03-09
"69",69,3.7,0.29,27.69,2001-03-10
"70",70,3.63,0.29,27.82,2001-03-11
"71",71,3.56,0.28,28.11,2001-03-12
"72",72,3.49,0.28,28.14,2001-03-13
"73",73,3.41,0.29,28,2001-03-14
"74",74,3.33,0.29,28.15,2001-03-15
"75",75,3.25,0.28,28.3,2001-03-16
"76",76,3.17,0.28,28.06,2001-03-17
"77",77,3.09,0.28,27.74,2001-03-18
"78",78,3.01,0.29,27.86,2001-03-19
"79",79,2.93,0.28,27.86,2001-03-20
"80",80,2.85,0.28,27.55,2001-03-21
"81",81,2.76,0.29,27.1,2001-03-22
"82",82,2.68,0.28,27,2001-03-23
"83",83,2.6,0.28,27.03,2001-03-24
"84",84,2.52,0.29,26.71,2001-03-25
"85",85,2.44,0.29,26.4,2001-03-26
"86",86,2.37,0.29,26.34,2001-03-27
"87",87,2.29,0.29,26.23,2001-03-28
"88",88,2.21,0.29,26.09,2001-03-29
"89",89,2.14,0.29,25.51,2001-03-30
"90",90,2.07,0.29,24.93,2001-03-31
"91",91,1.99,0.29,24.96,2001-04-01
"92",92,1.92,0.28,25.13,2001-04-02
"93",93,1.86,0.29,25.31,2001-04-03
"94",94,1.79,0.29,25.17,2001-04-04
"95",95,1.72,0.29,25.14,2001-04-05
"96",96,1.66,0.29,24.94,2001-04-06
"97",97,1.6,0.29,24.73,2001-04-07
"98",98,1.54,0.28,24.75,2001-04-08
"99",99,1.48,0.28,24.77,2001-04-09
"100",100,1.43,0.28,24.66,2001-04-10
"101",101,1.37,0.28,24.46,2001-04-11
"102",102,1.32,0.28,24.14,2001-04-12
"103",103,1.27,0.28,24.14,2001-04-13
"104",104,1.22,0.29,24.18,2001-04-14
"105",105,1.18,0.28,23.97,2001-04-15
"106",106,1.13,0.28,23.97,2001-04-16
"107",107,1.09,0.28,24.01,2001-04-17
"108",108,1.05,0.28,23.92,2001-04-18
"109",109,1.01,0.28,23.71,2001-04-19
