"","doy","forc_npp","forc_sw","forc_st","avg_date"
"1",1,0.99,0.26,32.29,2001-01-01
"2",2,0.98,0.26,32.29,2001-01-02
"3",3,0.98,0.27,31.96,2001-01-03
"4",4,0.98,0.26,32.01,2001-01-04
"5",5,0.98,0.27,32.16,2001-01-05
"6",6,0.98,0.27,32.43,2001-01-06
"7",7,0.98,0.26,32.2,2001-01-07
"8",8,0.98,0.26,32.18,2001-01-08
"9",9,0.98,0.26,32.03,2001-01-09
"10",10,0.99,0.26,32.02,2001-01-10
"11",11,0.99,0.25,32.48,2001-01-11
"12",12,0.99,0.25,32.95,2001-01-12
"13",13,1,0.25,32.94,2001-01-13
"14",14,1,0.25,32.88,2001-01-14
"15",15,1.01,0.25,32.36,2001-01-15
"16",16,1.01,0.26,32.06,2001-01-16
"17",17,1.02,0.26,31.94,2001-01-17
"18",18,1.02,0.26,31.99,2001-01-18
"19",19,1.03,0.27,32.1,2001-01-19
"20",20,1.03,0.26,32.43,2001-01-20
"21",21,1.04,0.26,32.38,2001-01-21
"22",22,1.04,0.26,32.5,2001-01-22
"23",23,1.05,0.26,32.53,2001-01-23
"24",24,1.06,0.26,32.49,2001-01-24
"25",25,1.06,0.26,32.43,2001-01-25
"26",26,1.07,0.26,32.73,2001-01-26
"27",27,1.08,0.26,32.49,2001-01-27
"28",28,1.08,0.26,32.18,2001-01-28
"29",29,1.09,0.26,32.34,2001-01-29
"30",30,1.09,0.26,32.55,2001-01-30
"31",31,1.09,0.27,32.06,2001-01-31
"32",32,1.1,0.27,31.87,2001-02-01
"33",33,1.1,0.27,31.19,2001-02-02
"34",34,1.1,0.26,31.49,2001-02-03
"35",35,1.1,0.26,31.74,2001-02-04
"36",36,1.1,0.27,31.92,2001-02-05
"37",37,1.1,0.27,32.17,2001-02-06
"38",38,1.1,0.26,31.91,2001-02-07
"39",39,1.1,0.26,31.82,2001-02-08
"40",40,1.1,0.26,31.89,2001-02-09
"41",41,1.1,0.26,32.19,2001-02-10
"42",42,1.1,0.26,32.38,2001-02-11
"43",43,1.1,0.26,32.44,2001-02-12
"44",44,1.1,0.26,32.14,2001-02-13
"45",45,1.1,0.27,31.77,2001-02-14
"46",46,1.1,0.27,31.81,2001-02-15
"47",47,1.11,0.27,31.37,2001-02-16
"48",48,1.11,0.26,31.47,2001-02-17
"49",49,1.11,0.26,31.76,2001-02-18
"50",50,1.11,0.26,31.65,2001-02-19
"51",51,1.12,0.26,31.31,2001-02-20
"52",52,1.12,0.26,30.91,2001-02-21
"53",53,1.12,0.26,31.18,2001-02-22
"54",54,1.13,0.26,31.12,2001-02-23
"55",55,1.14,0.27,31.13,2001-02-24
"56",56,1.14,0.27,31.06,2001-02-25
"57",57,1.15,0.27,30.43,2001-02-26
"58",58,1.15,0.27,30.56,2001-02-27
"59",59,1.16,0.28,29.91,2001-02-28
"60",60,0.91,0.27,29.51,2001-03-01
"61",61,1.17,0.28,28.91,2001-03-02
"62",62,1.17,0.28,29.19,2001-03-03
"63",63,1.17,0.27,29.19,2001-03-04
"64",64,1.17,0.27,28.75,2001-03-05
"65",65,1.17,0.27,28.51,2001-03-06
"66",66,1.17,0.27,28.6,2001-03-07
"67",67,1.17,0.27,28.84,2001-03-08
"68",68,1.17,0.26,29.02,2001-03-09
"69",69,1.16,0.26,29.03,2001-03-10
"70",70,1.16,0.26,29.26,2001-03-11
"71",71,1.15,0.26,29.67,2001-03-12
"72",72,1.15,0.26,29.8,2001-03-13
"73",73,1.14,0.26,29.59,2001-03-14
"74",74,1.13,0.26,29.79,2001-03-15
"75",75,1.12,0.26,29.77,2001-03-16
"76",76,1.11,0.26,29.13,2001-03-17
"77",77,1.1,0.26,28.76,2001-03-18
"78",78,1.09,0.26,28.86,2001-03-19
"79",79,1.08,0.26,28.89,2001-03-20
"80",80,1.07,0.26,28.64,2001-03-21
"81",81,1.06,0.26,28.24,2001-03-22
"82",82,1.05,0.26,28.23,2001-03-23
"83",83,1.04,0.26,27.91,2001-03-24
"84",84,1.03,0.26,27.56,2001-03-25
"85",85,1.02,0.26,27.26,2001-03-26
"86",86,1.01,0.26,27.16,2001-03-27
"87",87,1,0.26,27.12,2001-03-28
"88",88,0.98,0.26,26.91,2001-03-29
"89",89,0.97,0.27,26.23,2001-03-30
"90",90,0.96,0.26,25.81,2001-03-31
"91",91,0.95,0.26,25.79,2001-04-01
"92",92,0.94,0.26,25.99,2001-04-02
"93",93,0.93,0.26,26.22,2001-04-03
"94",94,0.91,0.26,26.16,2001-04-04
"95",95,0.9,0.25,26.06,2001-04-05
"96",96,0.89,0.25,25.73,2001-04-06
"97",97,0.88,0.25,25.68,2001-04-07
"98",98,0.86,0.25,25.78,2001-04-08
"99",99,0.85,0.25,25.89,2001-04-09
"100",100,0.84,0.25,25.74,2001-04-10
"101",101,0.83,0.25,25.52,2001-04-11
"102",102,0.82,0.25,25.16,2001-04-12
"103",103,0.8,0.26,25.14,2001-04-13
"104",104,0.79,0.26,25.11,2001-04-14
"105",105,0.78,0.25,24.92,2001-04-15
"106",106,0.77,0.25,24.77,2001-04-16
"107",107,0.76,0.25,24.69,2001-04-17
"108",108,0.75,0.25,24.67,2001-04-18
"109",109,0.73,0.25,24.31,2001-04-19
"110",110,0.72,0.25,23.94,2001-04-20
"111",111,0.71,0.25,23.55,2001-04-21
"112",112,0.7,0.25,23.41,2001-04-22
"113",113,0.7,0.24,23.46,2001-04-23
"114",114,0.69,0.24,23.48,2001-04-24
"115",115,0.68,0.24,23.14,2001-04-25
"116",116,0.67,0.25,22.72,2001-04-26
"117",117,0.66,0.25,22.09,2001-04-27
"118",118,0.66,0.25,22.14,2001-04-28
"119",119,0.65,0.25,21.94,2001-04-29
"120",120,0.64,0.25,21.54,2001-04-30
"121",121,0.64,0.25,21.31,2001-05-01
"122",122,0.63,0.25,21.18,2001-05-02
"123",123,0.62,0.25,20.97,2001-05-03
"124",124,0.62,0.25,20.71,2001-05-04
"125",125,0.61,0.25,20.43,2001-05-05
"126",126,0.6,0.25,20.2,2001-05-06
"127",127,0.6,0.24,20.32,2001-05-07
"128",128,0.59,0.24,20.3,2001-05-08
"129",129,0.58,0.24,20.38,2001-05-09
"130",130,0.58,0.24,20.27,2001-05-10
"131",131,0.57,0.24,20.01,2001-05-11
"132",132,0.56,0.24,19.73,2001-05-12
"133",133,0.56,0.24,19.44,2001-05-13
"134",134,0.55,0.24,19.2,2001-05-14
