"","doy","forc_npp","forc_sw","forc_st","avg_date"
"1",1,1.5,0.28,33.45,2001-01-01
"2",2,1.52,0.28,33.52,2001-01-02
"3",3,1.54,0.28,33.61,2001-01-03
"4",4,1.56,0.28,33.14,2001-01-04
"5",5,1.58,0.29,32.57,2001-01-05
"6",6,1.59,0.29,32.59,2001-01-06
"7",7,1.61,0.29,32.89,2001-01-07
"8",8,1.62,0.29,33.14,2001-01-08
"9",9,1.63,0.28,33.51,2001-01-09
"10",10,1.64,0.28,33.75,2001-01-10
"11",11,1.65,0.28,33.58,2001-01-11
"12",12,1.66,0.28,33.33,2001-01-12
"13",13,1.66,0.28,33.51,2001-01-13
"14",14,1.67,0.29,33.5,2001-01-14
"15",15,1.68,0.29,33.19,2001-01-15
"16",16,1.69,0.3,33.11,2001-01-16
"17",17,1.7,0.29,32.93,2001-01-17
"18",18,1.71,0.29,33.11,2001-01-18
"19",19,1.72,0.28,33.45,2001-01-19
"20",20,1.73,0.28,33.68,2001-01-20
"21",21,1.74,0.28,34.02,2001-01-21
"22",22,1.75,0.28,34.09,2001-01-22
"23",23,1.76,0.28,34.19,2001-01-23
"24",24,1.77,0.28,34.28,2001-01-24
"25",25,1.78,0.28,34.44,2001-01-25
"26",26,1.79,0.28,34.07,2001-01-26
"27",27,1.8,0.28,34.22,2001-01-27
"28",28,1.81,0.28,34.68,2001-01-28
"29",29,1.82,0.27,34.84,2001-01-29
"30",30,1.82,0.28,34.63,2001-01-30
"31",31,1.83,0.29,34.16,2001-01-31
"32",32,1.83,0.29,33.83,2001-02-01
"33",33,1.83,0.29,32.72,2001-02-02
"34",34,1.83,0.29,32.23,2001-02-03
"35",35,1.82,0.29,32.08,2001-02-04
"36",36,1.82,0.28,32.4,2001-02-05
"37",37,1.81,0.28,32.65,2001-02-06
"38",38,1.8,0.27,33.02,2001-02-07
"39",39,1.79,0.28,33.01,2001-02-08
"40",40,1.78,0.3,32.47,2001-02-09
"41",41,1.77,0.3,32.51,2001-02-10
"42",42,1.76,0.3,32.65,2001-02-11
"43",43,1.75,0.29,33,2001-02-12
"44",44,1.73,0.29,33.23,2001-02-13
"45",45,1.72,0.28,33.27,2001-02-14
"46",46,1.71,0.29,33.38,2001-02-15
"47",47,1.69,0.28,33.13,2001-02-16
"48",48,1.68,0.28,32.89,2001-02-17
"49",49,1.67,0.28,32.76,2001-02-18
"50",50,1.66,0.28,32.93,2001-02-19
"51",51,1.65,0.28,33.32,2001-02-20
"52",52,1.64,0.28,33.44,2001-02-21
"53",53,1.62,0.28,33.62,2001-02-22
"54",54,1.61,0.28,33.63,2001-02-23
"55",55,1.61,0.29,33.42,2001-02-24
"56",56,1.6,0.28,33.07,2001-02-25
"57",57,1.59,0.28,33.07,2001-02-26
"58",58,1.58,0.28,33.23,2001-02-27
"59",59,1.57,0.28,33.28,2001-02-28
"60",60,1.53,0.28,33.39,2001-03-01
"61",61,1.55,0.28,32.74,2001-03-02
"62",62,1.54,0.29,31.99,2001-03-03
"63",63,1.53,0.3,31.71,2001-03-04
"64",64,1.52,0.3,31.68,2001-03-05
"65",65,1.51,0.29,31.52,2001-03-06
"66",66,1.5,0.29,31.42,2001-03-07
"67",67,1.48,0.28,31.32,2001-03-08
"68",68,1.47,0.28,31.47,2001-03-09
"69",69,1.45,0.28,31.61,2001-03-10
"70",70,1.44,0.28,31.78,2001-03-11
"71",71,1.42,0.28,31.81,2001-03-12
"72",72,1.41,0.28,31.95,2001-03-13
"73",73,1.39,0.27,31.96,2001-03-14
"74",74,1.37,0.27,32.09,2001-03-15
"75",75,1.35,0.27,32.34,2001-03-16
"76",76,1.33,0.26,32.54,2001-03-17
"77",77,1.31,0.27,32.49,2001-03-18
"78",78,1.3,0.28,32.26,2001-03-19
"79",79,1.27,0.28,32.18,2001-03-20
"80",80,1.25,0.28,31.9,2001-03-21
"81",81,1.23,0.29,31.26,2001-03-22
"82",82,1.21,0.29,31.08,2001-03-23
"83",83,1.19,0.29,31.17,2001-03-24
"84",84,1.17,0.28,31.13,2001-03-25
"85",85,1.14,0.28,30.96,2001-03-26
"86",86,1.12,0.28,30.83,2001-03-27
"87",87,1.1,0.27,30.88,2001-03-28
"88",88,1.07,0.27,30.83,2001-03-29
"89",89,1.05,0.27,30.82,2001-03-30
"90",90,1.03,0.27,30.63,2001-03-31
"91",91,1.01,0.27,30.48,2001-04-01
"92",92,0.98,0.26,30.43,2001-04-02
"93",93,0.96,0.26,30.51,2001-04-03
"94",94,0.94,0.26,30.67,2001-04-04
"95",95,0.92,0.27,30.34,2001-04-05
"96",96,0.9,0.27,29.96,2001-04-06
"97",97,0.88,0.27,29.72,2001-04-07
"98",98,0.86,0.27,29.68,2001-04-08
"99",99,0.84,0.26,29.64,2001-04-09
"100",100,0.82,0.27,29.38,2001-04-10
"101",101,0.8,0.27,29.16,2001-04-11
"102",102,0.78,0.27,28.87,2001-04-12
"103",103,0.76,0.28,28.69,2001-04-13
"104",104,0.74,0.28,28.69,2001-04-14
"105",105,0.73,0.27,28.56,2001-04-15
"106",106,0.71,0.27,28.39,2001-04-16
"107",107,0.7,0.27,28.4,2001-04-17
"108",108,0.68,0.27,28.29,2001-04-18
"109",109,0.66,0.27,28.11,2001-04-19
"110",110,0.65,0.26,28.04,2001-04-20
"111",111,0.64,0.26,27.91,2001-04-21
"112",112,0.62,0.26,27.72,2001-04-22
"113",113,0.61,0.26,27.73,2001-04-23
"114",114,0.59,0.26,27.75,2001-04-24
"115",115,0.58,0.26,27.65,2001-04-25
"116",116,0.56,0.26,27.23,2001-04-26
"117",117,0.55,0.26,26.91,2001-04-27
"118",118,0.53,0.26,26.59,2001-04-28
"119",119,0.52,0.26,26.42,2001-04-29
"120",120,0.51,0.26,26.19,2001-04-30
"121",121,0.5,0.26,26.01,2001-05-01
"122",122,0.48,0.26,25.82,2001-05-02
"123",123,0.47,0.26,25.8,2001-05-03
"124",124,0.46,0.26,25.71,2001-05-04
"125",125,0.45,0.25,25.65,2001-05-05
"126",126,0.43,0.25,25.36,2001-05-06
"127",127,0.42,0.25,25.17,2001-05-07
"128",128,0.41,0.25,25.02,2001-05-08
"129",129,0.4,0.25,25.05,2001-05-09
"130",130,0.39,0.26,24.68,2001-05-10
"131",131,0.38,0.26,24.16,2001-05-11
"132",132,0.37,0.26,23.85,2001-05-12
"133",133,0.36,0.25,23.62,2001-05-13
"134",134,0.36,0.26,23.49,2001-05-14
"135",135,0.35,0.25,23.43,2001-05-15
"136",136,0.34,0.25,23.38,2001-05-16
"137",137,0.33,0.25,23.24,2001-05-17
"138",138,0.33,0.25,23.18,2001-05-18
"139",139,0.32,0.25,23.12,2001-05-19
"140",140,0.31,0.25,22.9,2001-05-20
"141",141,0.31,0.25,22.64,2001-05-21
"142",142,0.3,0.25,22.43,2001-05-22
"143",143,0.3,0.25,22.49,2001-05-23
"144",144,0.29,0.25,22.49,2001-05-24
"145",145,0.29,0.25,22.44,2001-05-25
"146",146,0.28,0.25,22.27,2001-05-26
"147",147,0.28,0.25,22.03,2001-05-27
"148",148,0.27,0.25,21.88,2001-05-28
"149",149,0.27,0.25,21.68,2001-05-29
"150",150,0.27,0.25,21.37,2001-05-30
"151",151,0.26,0.25,21.24,2001-05-31
"152",152,0.26,0.26,21.06,2001-06-01
"153",153,0.26,0.26,20.91,2001-06-02
"154",154,0.26,0.26,20.9,2001-06-03
"155",155,0.25,0.26,20.89,2001-06-04
"156",156,0.25,0.26,20.78,2001-06-05
"157",157,0.25,0.26,20.68,2001-06-06
"158",158,0.25,0.26,20.42,2001-06-07
"159",159,0.24,0.26,20.36,2001-06-08
"160",160,0.24,0.26,20.22,2001-06-09
"161",161,0.24,0.26,20.27,2001-06-10
"162",162,0.24,0.26,20.14,2001-06-11
"163",163,0.24,0.26,19.96,2001-06-12
"164",164,0.24,0.26,19.88,2001-06-13
"165",165,0.24,0.26,19.52,2001-06-14
"166",166,0.23,0.26,19.15,2001-06-15
"167",167,0.23,0.26,18.98,2001-06-16
"168",168,0.23,0.26,18.59,2001-06-17
"169",169,0.23,0.26,18.3,2001-06-18
"170",170,0.23,0.27,18.14,2001-06-19
"171",171,0.23,0.28,18,2001-06-20
"172",172,0.23,0.28,17.93,2001-06-21
"173",173,0.24,0.27,17.89,2001-06-22
"174",174,0.24,0.27,18.06,2001-06-23
"175",175,0.24,0.27,18.31,2001-06-24
"176",176,0.24,0.27,18.31,2001-06-25
"177",177,0.24,0.27,18.26,2001-06-26
"178",178,0.25,0.28,18.34,2001-06-27
"179",179,0.25,0.27,18.31,2001-06-28
"180",180,0.25,0.27,18.08,2001-06-29
"181",181,0.26,0.27,18.11,2001-06-30
"182",182,0.26,0.27,18.36,2001-07-01
"183",183,0.26,0.27,18.12,2001-07-02
"184",184,0.27,0.27,18,2001-07-03
"185",185,0.27,0.27,18.13,2001-07-04
"186",186,0.28,0.26,18.49,2001-07-05
"187",187,0.28,0.26,18.51,2001-07-06
"188",188,0.29,0.26,18.18,2001-07-07
"189",189,0.29,0.26,18.14,2001-07-08
"190",190,0.29,0.26,18.01,2001-07-09
"191",191,0.3,0.26,17.8,2001-07-10
"192",192,0.3,0.27,18.08,2001-07-11
"193",193,0.31,0.26,18.53,2001-07-12
"194",194,0.31,0.26,18.9,2001-07-13
"195",195,0.31,0.26,18.75,2001-07-14
"196",196,0.32,0.27,18.06,2001-07-15
"197",197,0.32,0.27,17.84,2001-07-16
"198",198,0.32,0.27,17.82,2001-07-17
"199",199,0.32,0.27,17.93,2001-07-18
"200",200,0.32,0.27,17.92,2001-07-19
"201",201,0.33,0.27,17.8,2001-07-20
