"","doy","forc_npp","forc_sw","forc_st","avg_date"
"1",1,2.31,0.33,26.61,2001-01-01
"2",2,2.38,0.34,26.62,2001-01-02
"3",3,2.45,0.34,26.74,2001-01-03
"4",4,2.52,0.34,26.81,2001-01-04
"5",5,2.58,0.34,26.87,2001-01-05
"6",6,2.64,0.35,26.77,2001-01-06
"7",7,2.7,0.35,26.78,2001-01-07
"8",8,2.76,0.35,26.83,2001-01-08
"9",9,2.81,0.35,26.8,2001-01-09
"10",10,2.86,0.36,26.61,2001-01-10
"11",11,2.91,0.37,26.35,2001-01-11
"12",12,2.96,0.37,26.32,2001-01-12
"13",13,3.01,0.36,26.48,2001-01-13
"14",14,3.06,0.36,26.7,2001-01-14
"15",15,3.1,0.36,26.69,2001-01-15
"16",16,3.15,0.37,26.56,2001-01-16
"17",17,3.2,0.38,26.33,2001-01-17
"18",18,3.24,0.38,26.38,2001-01-18
"19",19,3.29,0.39,26.28,2001-01-19
"20",20,3.33,0.39,26.21,2001-01-20
"21",21,3.37,0.39,26.22,2001-01-21
"22",22,3.42,0.39,26.21,2001-01-22
"23",23,3.46,0.39,26.28,2001-01-23
"24",24,3.5,0.39,26.41,2001-01-24
"25",25,3.54,0.39,26.54,2001-01-25
"26",26,3.58,0.4,26.44,2001-01-26
"27",27,3.62,0.4,26.55,2001-01-27
"28",28,3.66,0.4,26.79,2001-01-28
"29",29,3.7,0.4,26.87,2001-01-29
"30",30,3.73,0.39,26.97,2001-01-30
"31",31,3.77,0.39,26.89,2001-01-31
"32",32,3.8,0.39,27,2001-02-01
"33",33,3.83,0.39,27.05,2001-02-02
"34",34,3.86,0.4,26.91,2001-02-03
"35",35,3.89,0.4,26.73,2001-02-04
"36",36,3.92,0.4,26.57,2001-02-05
"37",37,3.94,0.4,26.44,2001-02-06
"38",38,3.96,0.4,26.53,2001-02-07
"39",39,3.99,0.4,26.43,2001-02-08
"40",40,4.01,0.4,26.46,2001-02-09
"41",41,4.03,0.4,26.4,2001-02-10
"42",42,4.04,0.4,26.47,2001-02-11
"43",43,4.06,0.4,26.57,2001-02-12
"44",44,4.08,0.4,26.48,2001-02-13
"45",45,4.09,0.4,26.44,2001-02-14
"46",46,4.1,0.4,26.52,2001-02-15
"47",47,4.12,0.4,26.51,2001-02-16
"48",48,4.13,0.4,26.57,2001-02-17
"49",49,4.14,0.4,26.54,2001-02-18
"50",50,4.15,0.4,26.42,2001-02-19
"51",51,4.15,0.4,26.43,2001-02-20
"52",52,4.16,0.4,26.35,2001-02-21
"53",53,4.17,0.4,26.34,2001-02-22
"54",54,4.17,0.41,26.13,2001-02-23
"55",55,4.18,0.41,26.08,2001-02-24
"56",56,4.18,0.41,26.13,2001-02-25
"57",57,4.18,0.41,26.32,2001-02-26
"58",58,4.18,0.4,26.41,2001-02-27
"59",59,4.19,0.4,26.41,2001-02-28
"60",60,4.21,0.4,26.46,2001-03-01
"61",61,4.19,0.4,26.47,2001-03-02
"62",62,4.19,0.4,26.33,2001-03-03
"63",63,4.19,0.4,26.17,2001-03-04
"64",64,4.18,0.41,26.08,2001-03-05
"65",65,4.18,0.41,26.04,2001-03-06
"66",66,4.18,0.4,26.19,2001-03-07
"67",67,4.18,0.4,26.24,2001-03-08
"68",68,4.18,0.4,26.13,2001-03-09
"69",69,4.18,0.41,25.91,2001-03-10
"70",70,4.17,0.41,25.75,2001-03-11
"71",71,4.17,0.41,25.53,2001-03-12
"72",72,4.16,0.42,25.5,2001-03-13
"73",73,4.16,0.41,25.61,2001-03-14
"74",74,4.15,0.41,25.79,2001-03-15
