"","doy","forc_npp","forc_sw","forc_st","avg_date"
"1",1,0.03,0.16,27.03,2001-01-01
"2",2,0.03,0.16,26.97,2001-01-02
"3",3,0.02,0.16,27.07,2001-01-03
"4",4,0.02,0.16,27.03,2001-01-04
"5",5,0.02,0.16,27.28,2001-01-05
"6",6,0.02,0.16,27.44,2001-01-06
"7",7,0.02,0.16,27,2001-01-07
"8",8,0.02,0.16,26.49,2001-01-08
"9",9,0.03,0.16,26.76,2001-01-09
"10",10,0.03,0.17,27.58,2001-01-10
"11",11,0.03,0.17,27.52,2001-01-11
"12",12,0.03,0.17,27.19,2001-01-12
"13",13,0.04,0.17,26.55,2001-01-13
"14",14,0.04,0.17,26.32,2001-01-14
"15",15,0.05,0.17,26.73,2001-01-15
"16",16,0.05,0.16,27.19,2001-01-16
"17",17,0.06,0.16,27.44,2001-01-17
"18",18,0.06,0.17,27.57,2001-01-18
"19",19,0.07,0.17,28.44,2001-01-19
"20",20,0.07,0.17,28.16,2001-01-20
"21",21,0.08,0.17,27.92,2001-01-21
"22",22,0.09,0.17,27.76,2001-01-22
"23",23,0.09,0.17,27.59,2001-01-23
"24",24,0.1,0.17,27.49,2001-01-24
"25",25,0.11,0.17,28.12,2001-01-25
"26",26,0.11,0.16,28.07,2001-01-26
"27",27,0.12,0.16,27.76,2001-01-27
"28",28,0.12,0.16,27.46,2001-01-28
"29",29,0.13,0.16,27.42,2001-01-29
"30",30,0.13,0.17,26.85,2001-01-30
"31",31,0.13,0.16,26.67,2001-01-31
"32",32,0.14,0.16,26.67,2001-02-01
"33",33,0.14,0.16,26.46,2001-02-02
"34",34,0.14,0.16,26.56,2001-02-03
"35",35,0.14,0.16,26.93,2001-02-04
"36",36,0.14,0.17,26.77,2001-02-05
"37",37,0.14,0.17,26.83,2001-02-06
"38",38,0.14,0.17,27.24,2001-02-07
"39",39,0.14,0.16,27.31,2001-02-08
"40",40,0.14,0.16,27.02,2001-02-09
"41",41,0.14,0.16,26.93,2001-02-10
"42",42,0.14,0.16,26.92,2001-02-11
"43",43,0.14,0.16,26.6,2001-02-12
"44",44,0.13,0.16,26.98,2001-02-13
"45",45,0.13,0.16,27.19,2001-02-14
"46",46,0.13,0.16,27.18,2001-02-15
"47",47,0.13,0.16,27.08,2001-02-16
"48",48,0.13,0.16,27.36,2001-02-17
"49",49,0.13,0.17,26.94,2001-02-18
"50",50,0.12,0.18,26.57,2001-02-19
"51",51,0.12,0.18,26.18,2001-02-20
"52",52,0.12,0.17,26.07,2001-02-21
"53",53,0.12,0.17,25.87,2001-02-22
"54",54,0.12,0.17,25.91,2001-02-23
"55",55,0.12,0.17,25.87,2001-02-24
"56",56,0.12,0.17,25.93,2001-02-25
"57",57,0.12,0.17,26.17,2001-02-26
"58",58,0.12,0.17,25.94,2001-02-27
"59",59,0.13,0.17,25.26,2001-02-28
"60",60,0.15,0.17,24.76,2001-03-01
"61",61,0.13,0.17,24.89,2001-03-02
"62",62,0.13,0.17,25.04,2001-03-03
"63",63,0.13,0.17,24.93,2001-03-04
"64",64,0.13,0.17,24.71,2001-03-05
"65",65,0.13,0.17,24.66,2001-03-06
"66",66,0.14,0.17,24.6,2001-03-07
"67",67,0.14,0.17,24.74,2001-03-08
"68",68,0.14,0.16,25.03,2001-03-09
"69",69,0.14,0.17,25.17,2001-03-10
"70",70,0.14,0.17,25.08,2001-03-11
"71",71,0.14,0.17,24.77,2001-03-12
"72",72,0.14,0.17,24.57,2001-03-13
"73",73,0.15,0.17,24.51,2001-03-14
"74",74,0.15,0.17,24.33,2001-03-15
"75",75,0.15,0.17,23.72,2001-03-16
"76",76,0.15,0.17,23.73,2001-03-17
"77",77,0.15,0.17,23.75,2001-03-18
"78",78,0.15,0.17,23.45,2001-03-19
"79",79,0.16,0.18,23.23,2001-03-20
"80",80,0.16,0.17,22.72,2001-03-21
"81",81,0.16,0.17,22.33,2001-03-22
"82",82,0.16,0.17,22.14,2001-03-23
"83",83,0.17,0.17,21.86,2001-03-24
"84",84,0.17,0.17,21.69,2001-03-25
"85",85,0.17,0.17,21.66,2001-03-26
"86",86,0.17,0.17,21.47,2001-03-27
"87",87,0.18,0.17,21.11,2001-03-28
"88",88,0.18,0.17,20.99,2001-03-29
"89",89,0.18,0.17,20.66,2001-03-30
"90",90,0.19,0.17,20.95,2001-03-31
"91",91,0.19,0.17,21.2,2001-04-01
"92",92,0.19,0.17,21.22,2001-04-02
"93",93,0.2,0.17,20.69,2001-04-03
"94",94,0.2,0.17,20.32,2001-04-04
"95",95,0.21,0.16,20.2,2001-04-05
"96",96,0.21,0.17,20.41,2001-04-06
"97",97,0.22,0.17,20.47,2001-04-07
"98",98,0.22,0.17,20.56,2001-04-08
"99",99,0.22,0.18,20.38,2001-04-09
"100",100,0.23,0.18,20.15,2001-04-10
"101",101,0.23,0.18,20.07,2001-04-11
"102",102,0.24,0.18,19.75,2001-04-12
"103",103,0.24,0.18,19.69,2001-04-13
"104",104,0.25,0.17,19.39,2001-04-14
"105",105,0.25,0.17,19.12,2001-04-15
"106",106,0.26,0.18,18.76,2001-04-16
"107",107,0.26,0.18,18.84,2001-04-17
"108",108,0.27,0.18,19.02,2001-04-18
"109",109,0.27,0.18,19.04,2001-04-19
"110",110,0.28,0.18,18.96,2001-04-20
"111",111,0.29,0.18,18.73,2001-04-21
"112",112,0.29,0.18,18.49,2001-04-22
"113",113,0.3,0.18,18.52,2001-04-23
"114",114,0.31,0.18,17.83,2001-04-24
"115",115,0.31,0.19,17.37,2001-04-25
"116",116,0.32,0.19,17.12,2001-04-26
"117",117,0.33,0.19,17.16,2001-04-27
"118",118,0.34,0.19,17.13,2001-04-28
"119",119,0.34,0.2,16.61,2001-04-29
"120",120,0.35,0.2,16.43,2001-04-30
"121",121,0.36,0.2,16.39,2001-05-01
"122",122,0.37,0.2,16.16,2001-05-02
"123",123,0.38,0.2,15.83,2001-05-03
"124",124,0.38,0.2,15.73,2001-05-04
"125",125,0.39,0.2,15.67,2001-05-05
"126",126,0.4,0.2,15.87,2001-05-06
"127",127,0.41,0.2,15.67,2001-05-07
"128",128,0.42,0.2,15.75,2001-05-08
"129",129,0.43,0.19,15.68,2001-05-09
"130",130,0.44,0.19,15.34,2001-05-10
"131",131,0.44,0.19,15.08,2001-05-11
"132",132,0.45,0.2,14.9,2001-05-12
"133",133,0.46,0.2,14.54,2001-05-13
"134",134,0.47,0.2,14.46,2001-05-14
"135",135,0.48,0.2,14.41,2001-05-15
"136",136,0.48,0.2,14.17,2001-05-16
"137",137,0.49,0.2,14.16,2001-05-17
"138",138,0.5,0.2,13.95,2001-05-18
"139",139,0.51,0.21,13.84,2001-05-19
"140",140,0.52,0.21,13.91,2001-05-20
"141",141,0.52,0.21,13.81,2001-05-21
"142",142,0.53,0.21,13.74,2001-05-22
"143",143,0.54,0.21,13.58,2001-05-23
"144",144,0.55,0.21,13.46,2001-05-24
"145",145,0.56,0.22,13.25,2001-05-25
"146",146,0.56,0.22,13.15,2001-05-26
"147",147,0.57,0.22,12.91,2001-05-27
"148",148,0.58,0.23,12.5,2001-05-28
"149",149,0.59,0.23,12.11,2001-05-29
"150",150,0.59,0.23,11.96,2001-05-30
"151",151,0.6,0.24,11.99,2001-05-31
"152",152,0.61,0.24,11.98,2001-06-01
"153",153,0.62,0.24,11.81,2001-06-02
"154",154,0.63,0.24,11.66,2001-06-03
"155",155,0.64,0.24,11.54,2001-06-04
"156",156,0.66,0.24,11.46,2001-06-05
"157",157,0.67,0.24,11.45,2001-06-06
"158",158,0.68,0.24,11.37,2001-06-07
"159",159,0.7,0.24,11.19,2001-06-08
"160",160,0.72,0.25,11.21,2001-06-09
"161",161,0.73,0.25,11.17,2001-06-10
"162",162,0.75,0.25,11.05,2001-06-11
"163",163,0.77,0.25,10.97,2001-06-12
"164",164,0.79,0.25,10.69,2001-06-13
"165",165,0.81,0.26,10.41,2001-06-14
"166",166,0.84,0.26,10.28,2001-06-15
"167",167,0.86,0.26,10.31,2001-06-16
"168",168,0.88,0.26,10.11,2001-06-17
"169",169,0.91,0.26,9.92,2001-06-18
"170",170,0.93,0.26,9.92,2001-06-19
"171",171,0.96,0.26,9.94,2001-06-20
"172",172,0.98,0.26,9.99,2001-06-21
"173",173,1.01,0.27,10.02,2001-06-22
"174",174,1.03,0.27,9.86,2001-06-23
"175",175,1.06,0.27,9.82,2001-06-24
"176",176,1.08,0.27,9.63,2001-06-25
"177",177,1.11,0.27,9.61,2001-06-26
"178",178,1.13,0.26,9.55,2001-06-27
"179",179,1.15,0.27,9.41,2001-06-28
"180",180,1.17,0.26,9.6,2001-06-29
"181",181,1.2,0.26,9.71,2001-06-30
"182",182,1.22,0.26,9.5,2001-07-01
"183",183,1.24,0.26,9.52,2001-07-02
"184",184,1.27,0.26,9.7,2001-07-03
"185",185,1.29,0.26,9.86,2001-07-04
"186",186,1.31,0.26,9.72,2001-07-05
"187",187,1.34,0.26,9.52,2001-07-06
"188",188,1.37,0.26,9.19,2001-07-07
"189",189,1.4,0.26,9.08,2001-07-08
"190",190,1.43,0.26,9.21,2001-07-09
"191",191,1.46,0.26,9.53,2001-07-10
"192",192,1.49,0.26,9.59,2001-07-11
"193",193,1.53,0.27,9.57,2001-07-12
"194",194,1.57,0.27,9.54,2001-07-13
"195",195,1.61,0.28,9.31,2001-07-14
"196",196,1.65,0.28,9.05,2001-07-15
"197",197,1.69,0.28,9.12,2001-07-16
"198",198,1.74,0.28,9.07,2001-07-17
"199",199,1.78,0.27,9.03,2001-07-18
"200",200,1.83,0.28,8.88,2001-07-19
"201",201,1.88,0.27,8.89,2001-07-20
"202",202,1.93,0.27,9.13,2001-07-21
"203",203,1.98,0.27,9.64,2001-07-22
