"","Year","Month","Day","forc_npp","forc_sw","forc_st"
"1",2001,1,1,0.86,0.26,31.5
"2",2001,1,2,0.91,0.26,31.6
"3",2001,1,3,0.95,0.26,32.1
"4",2001,1,4,0.98,0.26,32.9
"5",2001,1,5,1,0.26,33.9
"6",2001,1,6,1.03,0.25,34.6
"7",2001,1,7,1.04,0.25,34.3
"8",2001,1,8,1.06,0.25,33.6
"9",2001,1,9,1.07,0.25,32.5
"10",2001,1,10,1.07,0.25,32.3
"11",2001,1,11,1.08,0.25,33.2
"12",2001,1,12,1.09,0.25,35
"13",2001,1,13,1.09,0.25,35.9
"14",2001,1,14,1.1,0.25,36.8
"15",2001,1,15,1.11,0.25,37.8
"16",2001,1,16,1.12,0.25,37.4
"17",2001,1,17,1.13,0.25,36
"18",2001,1,18,1.15,0.25,34.6
"19",2001,1,19,1.17,0.25,33.3
"20",2001,1,20,1.19,0.25,33.4
"21",2001,1,21,1.21,0.25,34.3
"22",2001,1,22,1.24,0.25,35.8
"23",2001,1,23,1.26,0.25,37.1
"24",2001,1,24,1.28,0.25,36.8
"25",2001,1,25,1.31,0.25,36.2
"26",2001,1,26,1.33,0.25,36.8
"27",2001,1,27,1.35,0.25,36.4
"28",2001,1,28,1.37,0.25,35.3
"29",2001,1,29,1.38,0.25,34.9
"30",2001,1,30,1.39,0.37,30.7
"31",2001,1,31,1.4,0.42,26.4
"32",2001,2,1,1.4,0.44,25.5
"33",2001,2,2,1.39,0.42,25.8
"34",2001,2,3,1.38,0.41,26.3
"35",2001,2,4,1.36,0.4,27.3
"36",2001,2,5,1.33,0.38,28.3
"37",2001,2,6,1.31,0.36,28.7
"38",2001,2,7,1.27,0.35,27.8
"39",2001,2,8,1.24,0.34,27.9
"40",2001,2,9,1.2,0.32,28.5
"41",2001,2,10,1.16,0.31,30
"42",2001,2,11,1.11,0.3,31.2
"43",2001,2,12,1.07,0.29,31.2
"44",2001,2,13,1.02,0.29,32
"45",2001,2,14,0.98,0.28,33.4
"46",2001,2,15,0.94,0.28,33
"47",2001,2,16,0.9,0.28,30.2
"48",2001,2,17,0.86,0.27,29.9
"49",2001,2,18,0.82,0.27,30
"50",2001,2,19,0.79,0.27,30.5
"51",2001,2,20,0.76,0.27,30
"52",2001,2,21,0.73,0.27,29.4
"53",2001,2,22,0.71,0.27,31.1
"54",2001,2,23,0.68,0.26,32.2
"55",2001,2,24,0.66,0.26,33.1
"56",2001,2,25,0.64,0.26,34.1
"57",2001,2,26,0.62,0.26,35
"58",2001,2,27,0.61,0.26,35.7
"59",2001,2,28,0.59,0.26,34.1
"60",2001,3,1,0.57,0.26,34
"61",2001,3,2,0.56,0.26,32.1
"62",2001,3,3,0.54,0.26,31.1
"63",2001,3,4,0.52,0.26,30.4
"64",2001,3,5,0.5,0.25,29.4
"65",2001,3,6,0.48,0.25,29.3
"66",2001,3,7,0.46,0.25,29.5
"67",2001,3,8,0.43,0.25,29.9
"68",2001,3,9,0.41,0.25,29.9
"69",2001,3,10,0.38,0.27,28.3
"70",2001,3,11,0.35,0.29,28.2
"71",2001,3,12,0.32,0.31,27.2
"72",2001,3,13,0.29,0.3,25.5
"73",2001,3,14,0.26,0.29,25.8
"74",2001,3,15,0.24,0.28,26
"75",2001,3,16,0.21,0.27,26.5
"76",2001,3,17,0.18,0.27,24.9
"77",2001,3,18,0.15,0.26,24.1
"78",2001,3,19,0.13,0.26,24.8
"79",2001,3,20,0.1,0.25,26.7
"80",2001,3,21,0.08,0.25,25.9
"81",2001,3,22,0.06,0.25,25.2
"82",2001,3,23,0.04,0.25,26.8
"83",2001,3,24,0.03,0.26,25.8
"84",2001,3,25,0.01,0.27,25.4
"85",2001,3,26,0,0.26,24.3
"86",2001,3,27,-0.01,0.26,23.9
"87",2001,3,28,-0.02,0.25,23.2
"88",2001,3,29,-0.03,0.25,24.3
"89",2001,3,30,-0.03,0.25,25.1
"90",2001,3,31,-0.03,0.25,25.7
"91",2001,4,1,-0.03,0.25,26.1
"92",2001,4,2,-0.03,0.25,26.7
"93",2001,4,3,-0.03,0.25,26.7
"94",2001,4,4,-0.03,0.25,26.7
"95",2001,4,5,-0.02,0.25,26.8
"96",2001,4,6,-0.02,0.24,26.5
"97",2001,4,7,-0.01,0.24,26
"98",2001,4,8,0,0.24,26.7
"99",2001,4,9,0.01,0.24,26.2
"100",2001,4,10,0.02,0.24,26.8
"101",2001,4,11,0.03,0.24,26
"102",2001,4,12,0.04,0.24,23.4
"103",2001,4,13,0.06,0.24,23.6
"104",2001,4,14,0.07,0.24,24.2
"105",2001,4,15,0.09,0.24,24.8
"106",2001,4,16,0.1,0.24,25.1
"107",2001,4,17,0.12,0.24,25.6
"108",2001,4,18,0.14,0.24,26.1
"109",2001,4,19,0.15,0.24,25.9
"110",2001,4,20,0.17,0.24,26.4
"111",2001,4,21,0.19,0.25,24.2
"112",2001,4,22,0.2,0.25,22.1
"113",2001,4,23,0.22,0.25,20
"114",2001,4,24,0.24,0.25,20
"115",2001,4,25,0.25,0.25,21.1
"116",2001,4,26,0.27,0.24,22.3
"117",2001,4,27,0.29,0.24,23
"118",2001,4,28,0.31,0.24,23
"119",2001,4,29,0.32,0.24,23.4
"120",2001,4,30,0.34,0.26,22
"121",2001,5,1,0.36,0.28,20.5
"122",2001,5,2,0.38,0.28,20.2
