"","Year","Month","Day","forc_npp","forc_sw","forc_st"
"1",2001,1,1,0.21,0.14,34.8
"2",2001,1,2,0.21,0.14,35.3
"3",2001,1,3,0.21,0.14,34.8
"4",2001,1,4,0.21,0.13,34.8
"5",2001,1,5,0.21,0.13,34.5
"6",2001,1,6,0.21,0.13,34.5
"7",2001,1,7,0.21,0.13,35.2
"8",2001,1,8,0.2,0.13,35.4
"9",2001,1,9,0.2,0.12,35.4
"10",2001,1,10,0.2,0.12,35.8
"11",2001,1,11,0.19,0.12,35.6
"12",2001,1,12,0.19,0.12,36.8
"13",2001,1,13,0.18,0.12,37.5
"14",2001,1,14,0.18,0.12,36.8
"15",2001,1,15,0.18,0.12,34.5
"16",2001,1,16,0.17,0.12,32.8
"17",2001,1,17,0.17,0.12,33.5
"18",2001,1,18,0.17,0.12,36.4
"19",2001,1,19,0.17,0.11,37.9
"20",2001,1,20,0.16,0.11,37.9
"21",2001,1,21,0.16,0.11,37.1
"22",2001,1,22,0.16,0.11,37.1
"23",2001,1,23,0.16,0.11,37.6
"24",2001,1,24,0.16,0.11,37
"25",2001,1,25,0.16,0.12,37
"26",2001,1,26,0.16,0.13,33.3
"27",2001,1,27,0.16,0.14,31.5
"28",2001,1,28,0.17,0.19,28.6
"29",2001,1,29,0.17,0.24,28.8
"30",2001,1,30,0.17,0.28,27.5
"31",2001,1,31,0.17,0.28,27.7
"32",2001,2,1,0.17,0.27,28.4
"33",2001,2,2,0.17,0.25,28.9
"34",2001,2,3,0.17,0.23,27.7
"35",2001,2,4,0.17,0.21,27.9
"36",2001,2,5,0.17,0.2,28.7
"37",2001,2,6,0.17,0.18,30
"38",2001,2,7,0.17,0.18,29.3
"39",2001,2,8,0.17,0.17,29.6
"40",2001,2,9,0.17,0.16,31.1
"41",2001,2,10,0.18,0.15,32
"42",2001,2,11,0.18,0.15,32.5
"43",2001,2,12,0.18,0.14,33.1
"44",2001,2,13,0.18,0.14,30.8
"45",2001,2,14,0.18,0.16,29.7
