"","Year","Month","Day","forc_npp","forc_sw","forc_st"
"1",2001,1,1,2.96,0.43,24.9
"2",2001,1,2,3.04,0.41,24.6
"3",2001,1,3,3.11,0.39,24.3
"4",2001,1,4,3.16,0.38,24.7
"5",2001,1,5,3.2,0.36,25.2
"6",2001,1,6,3.23,0.34,26
"7",2001,1,7,3.24,0.33,27.2
"8",2001,1,8,3.25,0.31,28.7
"9",2001,1,9,3.25,0.3,29.8
"10",2001,1,10,3.24,0.3,30.4
"11",2001,1,11,3.23,0.29,29.9
"12",2001,1,12,3.21,0.29,29.6
"13",2001,1,13,3.2,0.28,30.1
"14",2001,1,14,3.18,0.28,30.5
"15",2001,1,15,3.16,0.28,32
"16",2001,1,16,3.15,0.27,33.3
"17",2001,1,17,3.14,0.27,33.5
"18",2001,1,18,3.14,0.27,34.3
"19",2001,1,19,3.14,0.29,34.1
"20",2001,1,20,3.14,0.28,30.8
"21",2001,1,21,3.15,0.28,30
"22",2001,1,22,3.16,0.27,30.4
"23",2001,1,23,3.18,0.27,31.8
"24",2001,1,24,3.2,0.26,32.2
"25",2001,1,25,3.22,0.26,32.9
"26",2001,1,26,3.24,0.26,34
"27",2001,1,27,3.26,0.26,34.9
"28",2001,1,28,3.28,0.26,35.9
"29",2001,1,29,3.31,0.26,36.6
"30",2001,1,30,3.33,0.26,35.5
"31",2001,1,31,3.35,0.27,33.6
"32",2001,2,1,3.37,0.27,31.8
"33",2001,2,2,3.39,0.27,31.6
"34",2001,2,3,3.41,0.31,29.2
"35",2001,2,4,3.42,0.34,28.7
"36",2001,2,5,3.43,0.34,27.8
"37",2001,2,6,3.44,0.32,26.8
"38",2001,2,7,3.44,0.31,26.9
"39",2001,2,8,3.45,0.29,27.1
"40",2001,2,9,3.45,0.28,27.6
"41",2001,2,10,3.45,0.27,28.8
"42",2001,2,11,3.44,0.27,30.1
"43",2001,2,12,3.43,0.26,30.4
"44",2001,2,13,3.42,0.26,30.7
"45",2001,2,14,3.41,0.26,30.6
"46",2001,2,15,3.4,0.26,31
"47",2001,2,16,3.38,0.26,30.5
"48",2001,2,17,3.35,0.26,28.7
"49",2001,2,18,3.33,0.26,29.6
"50",2001,2,19,3.3,0.25,30
"51",2001,2,20,3.27,0.25,30.6
"52",2001,2,21,3.24,0.25,31.5
"53",2001,2,22,3.2,0.25,32.3
"54",2001,2,23,3.17,0.25,31.8
"55",2001,2,24,3.13,0.26,30.4
"56",2001,2,25,3.09,0.29,29.8
"57",2001,2,26,3.05,0.29,29.4
"58",2001,2,27,3.01,0.28,29.4
"59",2001,2,28,2.97,0.27,30
"60",2001,3,1,2.92,0.26,31
"61",2001,3,2,2.88,0.25,32.2
"62",2001,3,3,2.84,0.28,32
"63",2001,3,4,2.8,0.37,26.9
"64",2001,3,5,2.76,0.36,26.4
"65",2001,3,6,2.72,0.35,26.8
"66",2001,3,7,2.68,0.33,27.2
"67",2001,3,8,2.65,0.32,27.7
"68",2001,3,9,2.61,0.3,28.2
"69",2001,3,10,2.58,0.29,28.9
"70",2001,3,11,2.54,0.28,30.1
"71",2001,3,12,2.51,0.28,31.5
"72",2001,3,13,2.48,0.27,32.6
"73",2001,3,14,2.45,0.27,31.9
"74",2001,3,15,2.42,0.27,31.7
"75",2001,3,16,2.39,0.26,31.6
"76",2001,3,17,2.35,0.26,32.4
"77",2001,3,18,2.32,0.26,33.4
"78",2001,3,19,2.29,0.26,33.5
"79",2001,3,20,2.26,0.26,33.5
"80",2001,3,21,2.23,0.26,33.8
"81",2001,3,22,2.2,0.26,34.1
"82",2001,3,23,2.17,0.26,33.8
"83",2001,3,24,2.14,0.26,33.9
"84",2001,3,25,2.1,0.26,34
"85",2001,3,26,2.07,0.27,32.5
"86",2001,3,27,2.03,0.26,31.5
"87",2001,3,28,2,0.26,31.5
"88",2001,3,29,1.96,0.26,30.6
"89",2001,3,30,1.93,0.26,28.9
"90",2001,3,31,1.9,0.26,28
"91",2001,4,1,1.86,0.25,28.4
"92",2001,4,2,1.82,0.25,28.7
"93",2001,4,3,1.79,0.25,29.2
"94",2001,4,4,1.75,0.25,29.3
"95",2001,4,5,1.72,0.25,29.3
"96",2001,4,6,1.68,0.25,29
"97",2001,4,7,1.65,0.25,28.8
"98",2001,4,8,1.62,0.25,29
"99",2001,4,9,1.58,0.25,29.1
"100",2001,4,10,1.55,0.25,29.2
"101",2001,4,11,1.51,0.25,28.8
"102",2001,4,12,1.48,0.25,29.1
"103",2001,4,13,1.45,0.25,28
"104",2001,4,14,1.41,0.24,27.7
"105",2001,4,15,1.38,0.24,27.8
"106",2001,4,16,1.35,0.24,28
"107",2001,4,17,1.32,0.24,28.1
"108",2001,4,18,1.28,0.24,28.2
"109",2001,4,19,1.25,0.24,28.4
"110",2001,4,20,1.22,0.24,28.9
"111",2001,4,21,1.19,0.24,28.6
"112",2001,4,22,1.15,0.24,28.6
"113",2001,4,23,1.12,0.24,28.9
"114",2001,4,24,1.09,0.24,29.2
"115",2001,4,25,1.05,0.25,29.3
"116",2001,4,26,1.02,0.25,29.1
"117",2001,4,27,0.99,0.25,28.8
"118",2001,4,28,0.96,0.25,28.7
"119",2001,4,29,0.93,0.24,27.9
"120",2001,4,30,0.9,0.24,28.1
"121",2001,5,1,0.86,0.24,28
"122",2001,5,2,0.83,0.24,28.8
"123",2001,5,3,0.81,0.24,29.1
"124",2001,5,4,0.78,0.24,29.4
"125",2001,5,5,0.75,0.24,29.1
"126",2001,5,6,0.72,0.24,28.8
"127",2001,5,7,0.7,0.24,27.1
"128",2001,5,8,0.67,0.24,25.8
"129",2001,5,9,0.65,0.24,25.2
"130",2001,5,10,0.63,0.24,25
"131",2001,5,11,0.61,0.24,25
"132",2001,5,12,0.59,0.24,25.4
"133",2001,5,13,0.57,0.24,25.8
"134",2001,5,14,0.55,0.24,26.1
"135",2001,5,15,0.54,0.24,26.3
"136",2001,5,16,0.52,0.24,26.8
"137",2001,5,17,0.51,0.24,26.6
"138",2001,5,18,0.49,0.24,24.2
"139",2001,5,19,0.48,0.24,22.6
"140",2001,5,20,0.47,0.24,21.9
"141",2001,5,21,0.46,0.24,21.8
"142",2001,5,22,0.44,0.24,22
"143",2001,5,23,0.43,0.24,22.5
"144",2001,5,24,0.42,0.24,22.7
"145",2001,5,25,0.41,0.24,22.6
"146",2001,5,26,0.4,0.24,23.4
"147",2001,5,27,0.39,0.24,23.3
"148",2001,5,28,0.38,0.24,22.1
"149",2001,5,29,0.37,0.24,21.1
"150",2001,5,30,0.36,0.24,20.4
"151",2001,5,31,0.35,0.24,20.5
"152",2001,6,1,0.34,0.24,21.1
"153",2001,6,2,0.33,0.24,22.4
"154",2001,6,3,0.32,0.24,22.7
"155",2001,6,4,0.31,0.24,21.7
"156",2001,6,5,0.3,0.24,21.9
"157",2001,6,6,0.29,0.24,22.1
"158",2001,6,7,0.28,0.24,23.1
"159",2001,6,8,0.27,0.24,23.2
"160",2001,6,9,0.27,0.24,23.8
"161",2001,6,10,0.26,0.24,24
"162",2001,6,11,0.25,0.24,23.8
"163",2001,6,12,0.25,0.24,23.5
"164",2001,6,13,0.24,0.24,23.6
"165",2001,6,14,0.24,0.24,24
"166",2001,6,15,0.23,0.24,22.9
"167",2001,6,16,0.23,0.24,21
"168",2001,6,17,0.22,0.24,19.9
"169",2001,6,18,0.22,0.24,20.6
"170",2001,6,19,0.21,0.24,21.5
"171",2001,6,20,0.21,0.24,21.3
"172",2001,6,21,0.21,0.24,21.3
"173",2001,6,22,0.2,0.24,20.5
"174",2001,6,23,0.2,0.24,20.1
"175",2001,6,24,0.2,0.23,20.5
"176",2001,6,25,0.19,0.23,20.9
"177",2001,6,26,0.19,0.23,21
"178",2001,6,27,0.19,0.23,21.2
"179",2001,6,28,0.18,0.24,21.4
"180",2001,6,29,0.18,0.24,20.7
"181",2001,6,30,0.18,0.24,20.5
"182",2001,7,1,0.18,0.24,21.1
"183",2001,7,2,0.18,0.24,21.6
"184",2001,7,3,0.17,0.24,21.8
"185",2001,7,4,0.17,0.24,21.7
"186",2001,7,5,0.17,0.23,21
"187",2001,7,6,0.17,0.23,19.6
"188",2001,7,7,0.17,0.23,18.7
"189",2001,7,8,0.17,0.23,18.2
"190",2001,7,9,0.17,0.23,18.1
"191",2001,7,10,0.17,0.23,18.3
"192",2001,7,11,0.17,0.23,19
"193",2001,7,12,0.17,0.23,19.9
"194",2001,7,13,0.17,0.23,20.7
"195",2001,7,14,0.17,0.23,21.3
"196",2001,7,15,0.18,0.23,21.9
"197",2001,7,16,0.18,0.23,22.6
"198",2001,7,17,0.18,0.23,22.1
"199",2001,7,18,0.18,0.23,21.4
"200",2001,7,19,0.19,0.23,20.9
"201",2001,7,20,0.19,0.23,20.3
"202",2001,7,21,0.19,0.23,20.6
"203",2001,7,22,0.19,0.23,21.6
"204",2001,7,23,0.2,0.23,21.7
"205",2001,7,24,0.2,0.24,21.8
"206",2001,7,25,0.2,0.25,21.7
"207",2001,7,26,0.2,0.3,18.5
"208",2001,7,27,0.2,0.3,16.9
"209",2001,7,28,0.2,0.29,16.2
"210",2001,7,29,0.2,0.28,16
"211",2001,7,30,0.2,0.28,16.6
"212",2001,7,31,0.19,0.27,17.6
"213",2001,8,1,0.19,0.26,18.3
"214",2001,8,2,0.19,0.26,19.1
"215",2001,8,3,0.18,0.25,19.2
"216",2001,8,4,0.18,0.25,20.2
"217",2001,8,5,0.17,0.25,20.2
"218",2001,8,6,0.17,0.24,20.9
"219",2001,8,7,0.16,0.24,21.3
"220",2001,8,8,0.16,0.24,21.2
"221",2001,8,9,0.15,0.24,21.2
"222",2001,8,10,0.14,0.24,21.1
"223",2001,8,11,0.13,0.24,21.4
"224",2001,8,12,0.13,0.24,21.8
"225",2001,8,13,0.12,0.24,22.1
"226",2001,8,14,0.11,0.24,22
"227",2001,8,15,0.11,0.24,21.9
