"","Year","Month","Day","forc_npp","forc_sw","forc_st"
"1",2001,1,1,0.71,0.26,28.4
"2",2001,1,2,0.69,0.26,28.8
"3",2001,1,3,0.68,0.26,29.3
"4",2001,1,4,0.66,0.26,30
"5",2001,1,5,0.64,0.25,30.9
"6",2001,1,6,0.62,0.25,31.5
"7",2001,1,7,0.6,0.25,31.3
"8",2001,1,8,0.58,0.25,30.6
"9",2001,1,9,0.56,0.25,29.5
"10",2001,1,10,0.54,0.25,29.2
"11",2001,1,11,0.52,0.25,30.1
"12",2001,1,12,0.5,0.25,31.8
"13",2001,1,13,0.48,0.25,32.5
"14",2001,1,14,0.46,0.25,33.5
"15",2001,1,15,0.44,0.25,34.5
"16",2001,1,16,0.41,0.25,34.4
"17",2001,1,17,0.39,0.25,33.4
"18",2001,1,18,0.37,0.25,31.4
"19",2001,1,19,0.34,0.25,30.2
"20",2001,1,20,0.32,0.25,30.6
"21",2001,1,21,0.3,0.25,31.9
"22",2001,1,22,0.27,0.25,33.1
"23",2001,1,23,0.25,0.25,34.8
"24",2001,1,24,0.23,0.25,35
"25",2001,1,25,0.21,0.25,34.4
"26",2001,1,26,0.19,0.25,34.9
"27",2001,1,27,0.17,0.26,34.2
"28",2001,1,28,0.15,0.26,33.4
"29",2001,1,29,0.13,0.26,32.9
"30",2001,1,30,0.12,0.3,28.7
"31",2001,1,31,0.1,0.33,25.7
"32",2001,2,1,0.09,0.32,25.7
"33",2001,2,2,0.08,0.31,26.7
"34",2001,2,3,0.07,0.32,26.8
"35",2001,2,4,0.07,0.31,28.1
"36",2001,2,5,0.06,0.3,29.4
"37",2001,2,6,0.06,0.3,28.7
"38",2001,2,7,0.06,0.3,27.7
"39",2001,2,8,0.06,0.29,28.5
"40",2001,2,9,0.06,0.28,29.5
"41",2001,2,10,0.06,0.28,30.1
"42",2001,2,11,0.07,0.27,30.6
"43",2001,2,12,0.07,0.27,31
"44",2001,2,13,0.07,0.27,31.7
"45",2001,2,14,0.07,0.26,32.3
"46",2001,2,15,0.08,0.26,30.8
