"","Year","Month","Day","forc_npp","forc_sw","forc_st"
"1",2001,1,1,3.1,0.41,28.3
"2",2001,1,2,3.21,0.4,28
"3",2001,1,3,3.28,0.38,28.1
"4",2001,1,4,3.31,0.37,28.3
"5",2001,1,5,3.31,0.36,28.4
"6",2001,1,6,3.29,0.35,28.9
"7",2001,1,7,3.25,0.34,29.8
"8",2001,1,8,3.18,0.33,30.8
"9",2001,1,9,3.1,0.32,31.5
"10",2001,1,10,3,0.32,31.5
"11",2001,1,11,2.89,0.31,32
"12",2001,1,12,2.78,0.31,31.9
"13",2001,1,13,2.66,0.31,31.6
"14",2001,1,14,2.55,0.3,31
"15",2001,1,15,2.44,0.3,32
"16",2001,1,16,2.33,0.29,33.5
"17",2001,1,17,2.24,0.29,34.2
"18",2001,1,18,2.16,0.28,35
"19",2001,1,19,2.09,0.28,35.2
"20",2001,1,20,2.04,0.28,33.6
"21",2001,1,21,1.99,0.28,33
"22",2001,1,22,1.96,0.28,33.1
"23",2001,1,23,1.93,0.28,34.4
"24",2001,1,24,1.91,0.28,35.1
"25",2001,1,25,1.9,0.28,34.6
"26",2001,1,26,1.89,0.28,34.4
"27",2001,1,27,1.89,0.28,34.4
"28",2001,1,28,1.89,0.28,34.9
"29",2001,1,29,1.89,0.27,36
"30",2001,1,30,1.88,0.27,36.6
"31",2001,1,31,1.88,0.29,35.6
"32",2001,2,1,1.88,0.29,34.5
"33",2001,2,2,1.87,0.29,33.2
"34",2001,2,3,1.86,0.29,32.3
"35",2001,2,4,1.84,0.33,31.7
"36",2001,2,5,1.82,0.35,31.2
"37",2001,2,6,1.8,0.34,30.9
"38",2001,2,7,1.77,0.33,30.8
"39",2001,2,8,1.74,0.32,30.6
"40",2001,2,9,1.71,0.31,31
"41",2001,2,10,1.67,0.3,31.6
"42",2001,2,11,1.64,0.3,31.4
"43",2001,2,12,1.6,0.29,31.2
"44",2001,2,13,1.57,0.29,32.4
"45",2001,2,14,1.53,0.29,32.6
"46",2001,2,15,1.49,0.28,33.6
"47",2001,2,16,1.45,0.28,33.5
"48",2001,2,17,1.42,0.31,29.5
"49",2001,2,18,1.38,0.32,29
"50",2001,2,19,1.35,0.31,29.1
"51",2001,2,20,1.31,0.3,29.9
"52",2001,2,21,1.28,0.3,30.7
"53",2001,2,22,1.25,0.29,31.9
"54",2001,2,23,1.22,0.29,32.7
"55",2001,2,24,1.2,0.28,33
"56",2001,2,25,1.17,0.28,33.2
"57",2001,2,26,1.14,0.28,33.3
"58",2001,2,27,1.12,0.28,33.7
"59",2001,2,28,1.1,0.28,34.3
"60",2001,3,1,1.07,0.27,34
"61",2001,3,2,1.05,0.27,34.8
"62",2001,3,3,1.03,0.31,33.8
"63",2001,3,4,1.01,0.35,31.4
"64",2001,3,5,0.99,0.34,29.6
"65",2001,3,6,0.97,0.33,29.8
"66",2001,3,7,0.95,0.32,30
"67",2001,3,8,0.93,0.31,30.5
"68",2001,3,9,0.91,0.3,31
"69",2001,3,10,0.89,0.3,31.7
"70",2001,3,11,0.88,0.29,32.2
"71",2001,3,12,0.86,0.29,32.8
"72",2001,3,13,0.84,0.29,33.8
"73",2001,3,14,0.82,0.28,34.2
"74",2001,3,15,0.81,0.28,33.6
"75",2001,3,16,0.79,0.28,33.7
"76",2001,3,17,0.77,0.28,33.9
"77",2001,3,18,0.76,0.28,34.4
"78",2001,3,19,0.74,0.28,34.6
"79",2001,3,20,0.73,0.27,34.8
"80",2001,3,21,0.71,0.27,34.5
"81",2001,3,22,0.7,0.27,33.4
"82",2001,3,23,0.69,0.27,34.2
"83",2001,3,24,0.67,0.27,34.6
"84",2001,3,25,0.66,0.27,33.9
"85",2001,3,26,0.65,0.27,32.2
"86",2001,3,27,0.63,0.27,31.9
"87",2001,3,28,0.62,0.27,31.3
"88",2001,3,29,0.61,0.28,31.4
"89",2001,3,30,0.6,0.28,31
"90",2001,3,31,0.59,0.27,30.5
"91",2001,4,1,0.58,0.27,30.1
"92",2001,4,2,0.56,0.27,30.3
"93",2001,4,3,0.55,0.27,30.4
"94",2001,4,4,0.54,0.27,30.3
"95",2001,4,5,0.53,0.27,29.7
"96",2001,4,6,0.52,0.27,29.8
"97",2001,4,7,0.51,0.27,29.5
"98",2001,4,8,0.5,0.27,29.5
"99",2001,4,9,0.49,0.27,30.1
"100",2001,4,10,0.48,0.27,30.4
