"","Year","Month","Day","forc_npp","forc_sw","forc_st"
"1",2001,1,1,2.25,0.34,24.6
"2",2001,1,2,2.29,0.32,24.4
"3",2001,1,3,2.32,0.31,24.1
"4",2001,1,4,2.33,0.29,24.4
"5",2001,1,5,2.34,0.27,24.7
"6",2001,1,6,2.33,0.26,25.4
"7",2001,1,7,2.32,0.24,26.3
"8",2001,1,8,2.3,0.23,27.1
"9",2001,1,9,2.27,0.22,27.8
"10",2001,1,10,2.24,0.21,28.1
"11",2001,1,11,2.21,0.2,28
"12",2001,1,12,2.17,0.2,28.1
"13",2001,1,13,2.13,0.19,28.1
"14",2001,1,14,2.09,0.18,28.2
"15",2001,1,15,2.06,0.18,29.4
"16",2001,1,16,2.02,0.17,30.5
"17",2001,1,17,1.99,0.17,30.7
"18",2001,1,18,1.96,0.16,32
"19",2001,1,19,1.94,0.2,31.6
"20",2001,1,20,1.92,0.22,28.5
"21",2001,1,21,1.9,0.21,27.7
"22",2001,1,22,1.89,0.21,28
"23",2001,1,23,1.88,0.2,29.1
"24",2001,1,24,1.87,0.19,29.2
"25",2001,1,25,1.86,0.18,29.3
"26",2001,1,26,1.85,0.17,29.8
"27",2001,1,27,1.85,0.16,30.7
"28",2001,1,28,1.85,0.16,31.9
"29",2001,1,29,1.84,0.15,32.9
"30",2001,1,30,1.84,0.15,32.5
"31",2001,1,31,1.83,0.16,30.9
"32",2001,2,1,1.83,0.16,30.4
"33",2001,2,2,1.82,0.16,30.4
"34",2001,2,3,1.81,0.21,28.3
"35",2001,2,4,1.8,0.25,27.7
"36",2001,2,5,1.79,0.24,27.4
"37",2001,2,6,1.78,0.23,26.6
"38",2001,2,7,1.76,0.22,26.6
"39",2001,2,8,1.75,0.21,26.9
"40",2001,2,9,1.73,0.2,27.1
"41",2001,2,10,1.72,0.19,28
"42",2001,2,11,1.7,0.18,28.5
"43",2001,2,12,1.68,0.17,28.3
"44",2001,2,13,1.66,0.17,28.9
"45",2001,2,14,1.65,0.18,29.1
"46",2001,2,15,1.63,0.17,29.2
"47",2001,2,16,1.61,0.18,28.4
"48",2001,2,17,1.59,0.18,26.1
"49",2001,2,18,1.57,0.17,27
"50",2001,2,19,1.55,0.17,27.2
"51",2001,2,20,1.53,0.16,27.8
"52",2001,2,21,1.52,0.16,28.8
"53",2001,2,22,1.5,0.15,29.8
"54",2001,2,23,1.48,0.15,29.9
"55",2001,2,24,1.46,0.16,28.9
"56",2001,2,25,1.45,0.18,28.4
"57",2001,2,26,1.43,0.19,28.5
"58",2001,2,27,1.42,0.18,28.8
"59",2001,2,28,1.4,0.17,29.1
"60",2001,3,1,1.39,0.16,29.8
"61",2001,3,2,1.37,0.15,30.5
"62",2001,3,3,1.36,0.21,30
"63",2001,3,4,1.34,0.32,26.3
"64",2001,3,5,1.33,0.31,25.8
"65",2001,3,6,1.32,0.29,26.1
"66",2001,3,7,1.31,0.27,26.5
"67",2001,3,8,1.3,0.26,27
"68",2001,3,9,1.29,0.24,27.3
"69",2001,3,10,1.28,0.23,27.8
"70",2001,3,11,1.27,0.22,28.5
"71",2001,3,12,1.26,0.21,29.4
"72",2001,3,13,1.25,0.2,30.2
"73",2001,3,14,1.24,0.19,30.1
"74",2001,3,15,1.23,0.19,29.5
"75",2001,3,16,1.23,0.18,28.7
"76",2001,3,17,1.22,0.18,29.7
"77",2001,3,18,1.21,0.17,30.5
"78",2001,3,19,1.2,0.17,31.1
"79",2001,3,20,1.2,0.16,31.6
"80",2001,3,21,1.19,0.16,32.1
"81",2001,3,22,1.18,0.15,32.4
"82",2001,3,23,1.17,0.15,32.3
"83",2001,3,24,1.16,0.15,32.4
"84",2001,3,25,1.16,0.16,31.8
"85",2001,3,26,1.15,0.17,30.4
"86",2001,3,27,1.14,0.17,29.7
"87",2001,3,28,1.13,0.16,29.5
"88",2001,3,29,1.12,0.19,28.4
"89",2001,3,30,1.11,0.19,26.4
"90",2001,3,31,1.1,0.19,25.8
"91",2001,4,1,1.09,0.18,25.9
"92",2001,4,2,1.08,0.17,26.2
"93",2001,4,3,1.07,0.16,26.6
"94",2001,4,4,1.06,0.16,27
"95",2001,4,5,1.05,0.15,26.7
"96",2001,4,6,1.04,0.15,27
"97",2001,4,7,1.03,0.15,27
"98",2001,4,8,1.02,0.14,27.5
"99",2001,4,9,1.01,0.14,27.8
"100",2001,4,10,1,0.14,27.7
"101",2001,4,11,0.98,0.14,27.2
"102",2001,4,12,0.97,0.14,27.5
"103",2001,4,13,0.96,0.14,26.8
"104",2001,4,14,0.95,0.14,26.7
"105",2001,4,15,0.94,0.14,26.6
"106",2001,4,16,0.92,0.14,26.8
"107",2001,4,17,0.91,0.14,26.8
"108",2001,4,18,0.89,0.13,27
"109",2001,4,19,0.88,0.13,27.3
"110",2001,4,20,0.87,0.13,27.6
"111",2001,4,21,0.85,0.13,26.7
"112",2001,4,22,0.84,0.13,27.1
"113",2001,4,23,0.82,0.13,27.4
"114",2001,4,24,0.8,0.13,27.4
"115",2001,4,25,0.79,0.14,27.3
"116",2001,4,26,0.77,0.14,27.4
"117",2001,4,27,0.75,0.14,27.6
"118",2001,4,28,0.74,0.14,27.6
"119",2001,4,29,0.72,0.13,27.1
"120",2001,4,30,0.7,0.13,27.1
"121",2001,5,1,0.69,0.13,26.9
"122",2001,5,2,0.67,0.13,27.4
"123",2001,5,3,0.66,0.13,27.6
"124",2001,5,4,0.64,0.13,27.7
"125",2001,5,5,0.63,0.13,27.5
"126",2001,5,6,0.61,0.13,27.5
"127",2001,5,7,0.6,0.13,26
"128",2001,5,8,0.59,0.13,24.6
"129",2001,5,9,0.58,0.13,24.1
"130",2001,5,10,0.57,0.13,23.9
"131",2001,5,11,0.56,0.13,23.9
"132",2001,5,12,0.56,0.13,24
"133",2001,5,13,0.55,0.13,24.4
"134",2001,5,14,0.55,0.13,24.7
"135",2001,5,15,0.54,0.13,24.8
"136",2001,5,16,0.54,0.13,25.4
"137",2001,5,17,0.54,0.13,25.4
"138",2001,5,18,0.54,0.13,23.1
"139",2001,5,19,0.54,0.13,21.5
"140",2001,5,20,0.54,0.13,20.7
