"","Year","Month","Day","forc_npp","forc_sw","forc_st"
"1",2001,1,1,-0.1,0.15,28.6
"2",2001,1,2,-0.1,0.15,29.6
"3",2001,1,3,-0.1,0.15,30.5
"4",2001,1,4,-0.1,0.15,28.4
"5",2001,1,5,-0.11,0.15,27.6
"6",2001,1,6,-0.11,0.15,27.5
"7",2001,1,7,-0.11,0.15,27.6
"8",2001,1,8,-0.12,0.15,28.5
"9",2001,1,9,-0.12,0.15,30.3
"10",2001,1,10,-0.13,0.15,31.5
"11",2001,1,11,-0.13,0.15,31.9
"12",2001,1,12,-0.14,0.15,32.5
"13",2001,1,13,-0.14,0.15,33.7
"14",2001,1,14,-0.14,0.15,34.1
"15",2001,1,15,-0.15,0.15,32.2
"16",2001,1,16,-0.15,0.15,31.9
"17",2001,1,17,-0.15,0.15,30.8
"18",2001,1,18,-0.15,0.15,30.3
"19",2001,1,19,-0.15,0.15,31.2
"20",2001,1,20,-0.15,0.15,32.6
"21",2001,1,21,-0.15,0.15,33
"22",2001,1,22,-0.15,0.15,33.5
"23",2001,1,23,-0.14,0.15,34.4
"24",2001,1,24,-0.14,0.15,33.8
"25",2001,1,25,-0.14,0.15,33.4
"26",2001,1,26,-0.13,0.15,29.2
"27",2001,1,27,-0.13,0.15,26.9
"28",2001,1,28,-0.12,0.15,27.1
"29",2001,1,29,-0.12,0.15,28
"30",2001,1,30,-0.11,0.15,28.7
"31",2001,1,31,-0.11,0.15,29.3
"32",2001,2,1,-0.1,0.15,30
"33",2001,2,2,-0.1,0.15,30.9
"34",2001,2,3,-0.1,0.15,30.8
"35",2001,2,4,-0.09,0.15,31.1
"36",2001,2,5,-0.09,0.15,29.5
"37",2001,2,6,-0.08,0.16,30
"38",2001,2,7,-0.08,0.16,31.2
"39",2001,2,8,-0.08,0.16,31.8
"40",2001,2,9,-0.07,0.16,29.7
"41",2001,2,10,-0.07,0.16,28.3
"42",2001,2,11,-0.06,0.15,29.3
"43",2001,2,12,-0.05,0.15,29.4
"44",2001,2,13,-0.05,0.15,27.5
"45",2001,2,14,-0.04,0.15,26.1
"46",2001,2,15,-0.03,0.15,25.3
"47",2001,2,16,-0.02,0.15,25.5
"48",2001,2,17,-0.01,0.15,27.9
"49",2001,2,18,0,0.15,29.9
"50",2001,2,19,0.01,0.15,30.9
"51",2001,2,20,0.03,0.15,31.1
"52",2001,2,21,0.04,0.15,29.5
"53",2001,2,22,0.06,0.15,28.7
"54",2001,2,23,0.08,0.15,28.2
"55",2001,2,24,0.09,0.15,29
"56",2001,2,25,0.11,0.15,29.1
"57",2001,2,26,0.13,0.15,27.9
"58",2001,2,27,0.15,0.15,26.1
"59",2001,2,28,0.17,0.15,25.8
"60",2001,3,1,0.2,0.15,26.3
"61",2001,3,2,0.22,0.15,26.6
"62",2001,3,3,0.24,0.15,26.7
"63",2001,3,4,0.26,0.15,26.6
"64",2001,3,5,0.29,0.15,27.8
"65",2001,3,6,0.31,0.15,28.2
"66",2001,3,7,0.33,0.15,27.9
"67",2001,3,8,0.36,0.15,27.9
"68",2001,3,9,0.38,0.15,28.6
"69",2001,3,10,0.4,0.15,27.6
"70",2001,3,11,0.43,0.15,25.2
"71",2001,3,12,0.45,0.15,22.9
"72",2001,3,13,0.47,0.15,22.6
"73",2001,3,14,0.49,0.15,23.5
"74",2001,3,15,0.51,0.15,24
"75",2001,3,16,0.52,0.17,21.8
"76",2001,3,17,0.54,0.17,20.6
"77",2001,3,18,0.55,0.17,20.8
"78",2001,3,19,0.56,0.16,21.6
"79",2001,3,20,0.57,0.17,20.6
"80",2001,3,21,0.58,0.17,18.6
"81",2001,3,22,0.58,0.17,19.1
"82",2001,3,23,0.58,0.16,20.3
"83",2001,3,24,0.58,0.16,19.5
"84",2001,3,25,0.57,0.16,18.2
"85",2001,3,26,0.57,0.17,17.4
"86",2001,3,27,0.56,0.16,17.9
"87",2001,3,28,0.55,0.16,18.1
"88",2001,3,29,0.53,0.16,18.2
"89",2001,3,30,0.52,0.16,18.9
"90",2001,3,31,0.51,0.16,20.5
"91",2001,4,1,0.49,0.16,20.9
"92",2001,4,2,0.48,0.15,20.6
"93",2001,4,3,0.47,0.15,21
"94",2001,4,4,0.45,0.15,21.4
"95",2001,4,5,0.44,0.15,22
"96",2001,4,6,0.43,0.15,22.6
"97",2001,4,7,0.42,0.16,22.9
"98",2001,4,8,0.41,0.17,19.5
"99",2001,4,9,0.4,0.17,18.3
"100",2001,4,10,0.4,0.17,18.4
"101",2001,4,11,0.4,0.17,17.6
"102",2001,4,12,0.39,0.16,16.7
"103",2001,4,13,0.39,0.16,17
"104",2001,4,14,0.39,0.16,17.3
"105",2001,4,15,0.39,0.16,18.4
"106",2001,4,16,0.39,0.16,18.5
"107",2001,4,17,0.4,0.16,19.7
"108",2001,4,18,0.4,0.16,20.8
"109",2001,4,19,0.4,0.15,19
"110",2001,4,20,0.41,0.15,17
"111",2001,4,21,0.41,0.15,15.7
"112",2001,4,22,0.42,0.15,14.4
"113",2001,4,23,0.42,0.15,14.7
"114",2001,4,24,0.43,0.15,15.3
